קומות במבנה,"מחיר למ""ר",שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
4,"20,000 ₪",1980,22/05/2025,צרפת 4,10906-330-5,דירה בבית קומות,3,שלישית,74,"1,480,000 ₪"
1,"23,529 ₪",1960,21/05/2025,אלברט איינשטיין 27,10783-24-3,דירה בבית קומות,4,ראשונה,68.94,"1,600,000 ₪"
0,"25,556 ₪",0,21/05/2025,ללא כתובת,11196-16-76,דירה בבית קומות,3.5,חמישית,63,"1,610,000 ₪"
3,"39,535 ₪",1960,21/05/2025,הצבי 40,10908-129-13,דירה בבית קומות,5,שישית,129,"5,100,000 ₪"
0,"18,951 ₪",0,20/05/2025,ללא כתובת,10747-78-46,דירה בבית קומות,5,רביעית,143,"2,710,000 ₪"
6,"22,537 ₪",1970,19/05/2025,לאון בלום 19,10870-56-45,דירה בבית קומות,4,קרקע,67.89,"1,510,000 ₪"
4,"21,146 ₪",1960,19/05/2025,הרב כלפון 16,10814-8-8,דירה בבית קומות,3,שלישית,48,"1,015,000 ₪"
0,"19,767 ₪",0,18/05/2025,ללא כתובת,10861-281-5,דירה בבית קומות,2,שניה,43.5,"850,000 ₪"
9,"13,500 ₪",1999,16/05/2025,יד לבנים 92,11720-64-82,דירה בבית קומות,4,שש עשרה,90,"1,215,000 ₪"
4,"16,047 ₪",2023,15/05/2025,חביבה 55,11196-7-20,דירה בבית קומות,5,ראשונה,148,"2,375,000 ₪"
3,"28,696 ₪",1995,14/05/2025,יקינתון 11,11195-85-3,דירה בבית קומות,6,שישית,115,"3,300,000 ₪"
9,"19,828 ₪",1970,14/05/2025,ניסנבוים 7,11211-17-145,דירה בבית קומות,3,רביעית,58,"1,150,000 ₪"
0,"14,000 ₪",0,11/05/2025,ללא כתובת,10809-352-14,דירה בבית קומות,3,שניה,75.75,"1,050,000 ₪"
2,"17,109 ₪",1992,11/05/2025,הראשונים 6,11575-60-3,דירה בבית קומות,5,קרקע ראשונה,128.93,"2,190,000 ₪"
2,"27,980 ₪",2027,08/05/2025,זרובבל 23,10773-16-8,דירה בבית קומות,4,שניה,99,"2,770,000 ₪"
16,"23,924 ₪",1970,08/05/2025,אלנבי 123,10814-48-126,דירה בבית קומות,4,שש עשרה,79,"1,890,000 ₪"
1,"25,545 ₪",2023,08/05/2025,אמציהו המלך 8,10751-17-2,דירה בבית קומות,4,עשרים וחמש,101,"2,580,000 ₪"
7,"14,479 ₪",1970,07/05/2025,חבס ברכה 14,10926-2-9,דירה בבית קומות,4,שלישית,103.6,"1,500,000 ₪"
0,"16,146 ₪",0,06/05/2025,ללא כתובת,10861-383-6,דירה בבית קומות,2.5,קרקע,48.59,"775,000 ₪"
3,"13,155 ₪",1970,06/05/2025,משה שרת 14,11585-7-3,דירה בבית קומות,4,שניה,85.9,"1,130,000 ₪"
3,"17,647 ₪",1960,06/05/2025,התיכון 79,10882-105-10,דירה בבית קומות,3,שלישית,68,"1,200,000 ₪"
3,"22,632 ₪",1930,05/05/2025,הגנים 48,10827-47-6,דירה בבית קומות,4,לא ידוע,95,"2,150,000 ₪"
0,"26,000 ₪",2023,05/05/2025,אלמוג 10,12721-29-149,דירה בבית קומות,3,אחת עשרה,85,"2,210,000 ₪"
18,"18,380 ₪",1970,04/05/2025,אבא הלל סילבר 119,10921-35-87,דירה בבית קומות,3,ארבע עשרה,71,"1,305,000 ₪"
6,"30,058 ₪",1970,04/05/2025,רות 49,10763-122-14,דירה בבית קומות,5,שישית ושביעית,141.16,"4,243,000 ₪"
4,"23,404 ₪",1960,04/05/2025,זלמן שניאור 28,11194-296-27,דירה בבית קומות,3,שלישית,47.27,"1,100,000 ₪"
7,"17,303 ₪",2000,04/05/2025,דב פרומר 24,12693-20-35,דירה בבית קומות,3,שניה,76.3,"1,315,000 ₪"
4,"17,329 ₪",1970,29/04/2025,חניתה 68,10881-29-78,לא ידוע,3,רביעית,69.25,"1,200,000 ₪"
4,"16,708 ₪",1979,29/04/2025,חרוב 5,10747-50-1,דירה בבית קומות,4,ראשונה,84.39,"1,410,000 ₪"
5,"19,000 ₪",1970,29/04/2025,מרסיי 28,10745-176-28,דירה בבית קומות,3,חמישית,60.09,"1,140,000 ₪"
19,"18,438 ₪",1970,29/04/2025,לאון בלום 28,10870-40-239,דירה בבית קומות,3,תשיעית,64,"1,180,000 ₪"
20,"22,193 ₪",2010,29/04/2025,אוסקר שינדלר 6,12286-180-66,דירה בבית קומות,4,שתים עשרה,114.15,"2,530,000 ₪"
2,"33,250 ₪",1960,29/04/2025,חביבה 31,11196-9-14,דירה בבית קומות,3,קרקע,40,"1,330,000 ₪"
0,"14,312 ₪",0,29/04/2025,ללא כתובת,11359-81-139,דירה בבית קומות,3,שלישית,80,"1,145,000 ₪"
4,"10,533 ₪",1950,29/04/2025,בית שערים 1,11274-23-10,דירה בבית קומות,3,רביעית,75,"790,000 ₪"
4,"29,714 ₪",1960,29/04/2025,צרפת 41,10906-245-25,דירה בבית קומות,2,שלישית,35.96,"1,040,000 ₪"
0,"15,000 ₪",0,28/04/2025,ללא כתובת,10869-191-7,דירה בבית קומות,2,שלישית,60,"900,000 ₪"
0,"18,116 ₪",0,28/04/2025,ללא כתובת,10810-367-6,דירה בבית קומות,3,שניה,69.8,"1,250,000 ₪"
4,"18,667 ₪",1960,28/04/2025,חביבה 24,11194-280-45,דירה בבית קומות,3,שלישית,60.25,"1,120,000 ₪"
0,"14,288 ₪",0,28/04/2025,ללא כתובת,11359-81-140,דירה בבית קומות,3,רביעית,80,"1,143,000 ₪"
0,"19,185 ₪",0,28/04/2025,ללא כתובת,10861-169-8,דירה בבית קומות,5,שניה,92.4,"1,765,000 ₪"
8,"17,975 ₪",1980,27/04/2025,גוטל לוין 20,11193-204-29,דירה בבית קומות,4,שמינית,79,"1,420,000 ₪"
5,"24,554 ₪",1970,25/04/2025,ז'ורס 7,10803-136-7,דירה בבית קומות,3,שניה,56.8,"1,375,000 ₪"
4,"19,506 ₪",1970,25/04/2025,סעדיה פז 31,10744-49-13,דירה בבית קומות,4,שניה,81.3,"1,580,000 ₪"
1,"14,516 ₪",1930,24/04/2025,הנביאים 10,12458-7-2,דירה בבית קומות,3,שניה,62,"900,000 ₪"
2,"25,397 ₪",2018,24/04/2025,הבריכה 13,10882-118-12,דירה בבית קומות,3,ראשונה,63,"1,600,000 ₪"
8,"18,421 ₪",1995,24/04/2025,חיים בר לב 5,11212-105-39,דירה בבית קומות,5,רביעית,95.2,"1,750,000 ₪"
3,"21,429 ₪",1930,24/04/2025,פינת בן שמן 1,12453-28-4,דירה בבית קומות,2,שניה,28.5,"600,000 ₪"
6,לא ידוע,2022,23/04/2025,הלילך 4,10910-35-11,חניה,לא ידוע,לא ידוע,לא ידוע,"75,000 ₪"
1,"25,050 ₪",2023,23/04/2025,אמציהו המלך 8,10751-17-3,דירה בבית קומות,4,עשרים,101,"2,530,000 ₪"
1,"16,333 ₪",1950,23/04/2025,זלמן ארן 48,11567-35-3,דירה בבית קומות,6,קרקע,150,"2,450,000 ₪"
2,"14,831 ₪",1980,23/04/2025,הגדוד העברי 43,11581-99-5,דירה בבית קומות,4,שלישית,89.69,"1,320,000 ₪"
2,"29,615 ₪",1960,22/04/2025,הנשיא 4,11718-2-8,דירה בבית קומות,5,חמישית,130,"3,850,000 ₪"
2,"27,956 ₪",1959,21/04/2025,ויתקין 16,10786-99-7,דירה בבית קומות,5,שלישית,137,"3,830,000 ₪"
1,"31,470 ₪",1980,20/04/2025,חורב 4,10779-84-2,דירה בבית קומות,4,ראשונה,100,"3,147,000 ₪"
4,"18,992 ₪",1990,20/04/2025,מבצע יונתן 6,10770-136-11,דירה בבית קומות,5,חמישית ושישית,119.05,"2,260,000 ₪"
9,"18,000 ₪",1970,20/04/2025,אבא הלל סילבר 14,10922-14-32,דירה בבית קומות,3,תשיעית,70.8,"1,260,000 ₪"
0,"47,375 ₪",0,17/04/2025,ללא כתובת,11686-22-2,דירה בבית קומות,4,שישית,112,"5,306,000 ₪"
0,"19,410 ₪",0,16/04/2025,ללא כתובת,10747-78-47,דירה בבית קומות,5,רביעית,144,"2,795,000 ₪"
3,"20,113 ₪",1960,16/04/2025,שער הגיא 11,12688-5-8,דירה בבית קומות,4,שלישית,70.6,"1,420,000 ₪"
12,"23,846 ₪",1960,14/04/2025,הנשיא 124,10807-39-5,דירה בבית קומות,3,ראשונה,65.9,"1,550,000 ₪"
3,"14,440 ₪",1960,11/04/2025,הנוטר 30,11580-40-5,דירה בבית קומות,5,"קרקע,ראשונה",116.22,"1,675,000 ₪"
3,"23,234 ₪",1950,10/04/2025,התורן 16,11672-20-9,דירה בבית קומות,2.5,ראשונה,63.7,"1,480,000 ₪"
1,"29,439 ₪",2021,10/04/2025,סמולנסקין 6,10786-10-6,דירה בבית קומות,4,שלישית,107,"3,150,000 ₪"
0,"16,987 ₪",0,10/04/2025,ללא כתובת,10810-267-7,דירה בבית קומות,2.5,קומה 0,52.1,"885,000 ₪"
2,"26,230 ₪",1950,10/04/2025,יפה נוף 26,11686-3-6,דירה בבית קומות,4,ראשונה,61.6,"1,600,000 ₪"
4,"21,107 ₪",1970,10/04/2025,אביגיל 10,10770-119-7,דירה בבית קומות,5,שלישית ורביעית,122.1,"2,575,000 ₪"
5,"11,707 ₪",1970,10/04/2025,הגיבורים 51,12479-7-9,דירה בבית קומות,4,שלישית,82,"960,000 ₪"
0,"17,411 ₪",0,09/04/2025,ללא כתובת,10861-384-2,דירה בבית קומות,3,קרקע,56.33,"975,000 ₪"
0,"14,288 ₪",0,09/04/2025,ללא כתובת,11359-81-141,דירה בבית קומות,3,חמישית,80,"1,143,000 ₪"
0,"23,125 ₪",0,09/04/2025,ללא כתובת,10916-84-7,דירה בבית קומות,3,חמש עשרה,80,"1,850,000 ₪"
1,"11,940 ₪",1960,09/04/2025,דרייפוס 2,10803-82-20,דירה בבית קומות,3,ראשונה,67,"800,000 ₪"
0,"17,909 ₪",0,09/04/2025,ללא כתובת,10810-316-5,דירה בבית קומות,3,שניה,55,"985,000 ₪"
0,"10,833 ₪",0,09/04/2025,ללא כתובת,10868-14-20,דירה בבית קומות,2.5,לא ידוע,60,"650,000 ₪"
12,"27,083 ₪",1960,09/04/2025,הנשיא 124,10807-39-26,דירה בבית קומות,2,רביעית,48.95,"1,300,000 ₪"
2,"19,242 ₪",1960,09/04/2025,אלכסנדר זייד 108,11565-13-1,דירה בבית קומות,3,ראשונה,66.81,"1,270,000 ₪"
4,"13,141 ₪",1960,08/04/2025,אחד העם 7,12453-4-13,דירה בבית קומות,3,שלישית,78.1,"1,025,000 ₪"
