קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
,,06/04/2025,בירם 11,11196-2-130,דירה בבית קומות,4,רביעית,87.6,"1,442,000 ₪"
17,1970,27/02/2025,בירם 11,11196-2-160,דירה בבית קומות,3,שתים עשרה,105.7,"1,375,000 ₪"
17,1970,02/03/2006,בירם 11,11196-2-160,דירה בבית קומות,3,שתים עשרה,105.7,"893,000 ₪"
16,2008,17/01/2025,חלמיש 2,11196-130-170,דירה בבית קומות,4,רביעית,115,"1,935,000 ₪"
16,2008,12/01/2025,חלמיש 6,11196-130-169,דירה בבית קומות,3,שלישית,90,"1,590,000 ₪"
16,2008,10/01/2025,חלמיש 6,11196-130-168,דירה בבית קומות,4,עשירית,130,"2,575,000 ₪"
17,1970,05/01/2025,בירם 11,11196-2-134,דירה בבית קומות,4,חמישית,88.1,"528,000 ₪"
17,1970,05/04/2001,בירם 11,11196-2-134,דירה בבית קומות,4,חמישית,88.1,"758,000 ₪"
1,1995,18/12/2024,משה בליטנטל 36,12727-19-1,דירה בבית קומות,5,ראשונה,137,"3,000,000 ₪"
16,2008,01/12/2024,חלמיש 2,11196-130-167,דירה בבית קומות,3,שישית,77,"1,680,000 ₪"
16,2008,01/12/2024,חלמיש 2,11196-130-166,דירה בבית קומות,4,שלוש עשרה,115,"1,380,000 ₪"
2,1990,09/10/2024,יקינתון 69,11195-1-3,דירה בבית קומות,5,לא ידוע,129,"2,220,000 ₪"
16,2008,09/10/2024,חלמיש 8,11196-130-165,דירה בבית קומות,5,שישית,109,"1,750,000 ₪"
17,1970,05/09/2024,בירם 11,11196-2-156,לא ידוע,5,אחת עשרה,106.2,"1,400,000 ₪"
17,1970,23/03/2016,בירם 11,11196-2-156,לא ידוע,5,אחת עשרה,106.2,"1,359,000 ₪"
1,1985,15/08/2024,משה בליטנטל 15,12842-19-1,דירה בבית קומות,5,שלישית,120,"2,250,000 ₪"
1,1996,29/07/2024,יקינתון 62,11195-8-2,דירה בבית קומות,6,שניה,155,"2,590,000 ₪"
0,0,20/05/2024,ללא כתובת,12842-1-2,דירה בבית קומות,5,שניה,179,"2,700,000 ₪"
3,2000,12/04/2024,סתוונית 13,10800-17-6,דירה בבית קומות,5,שלישית,120,"2,970,000 ₪"
5,2004,19/03/2024,שחם 2,11196-121-6,דירה בבית קומות,4,שלישית,99,"2,250,000 ₪"
5,2004,06/05/2020,שחם 2,11196-121-6,דירה בבית קומות,4,שלישית,99,"1,620,000 ₪"
5,2004,11/01/2010,שחם 2,11196-121-6,דירה בבית קומות,4,שלישית,99,"1,599,000 ₪"
5,2004,18/08/2003,שחם 2,11196-121-6,דירה בבית קומות,4,שלישית,99,"1,139,000 ₪"
0,0,01/02/2024,ללא כתובת,12727-5-2,דירה בבית קומות,5,ראשונה,118,"2,170,000 ₪"
12,1970,29/01/2024,בירם 1,11196-2-28,דירה בבית קומות,3,שביעית,79.5,"1,470,000 ₪"
12,1970,04/03/2013,בירם 1,11196-2-28,דירה בבית קומות,3,שביעית,79.5,"1,149,000 ₪"
12,1970,14/05/1998,בירם 1,11196-2-28,דירה בבית קומות,3,שביעית,79.5,"733,000 ₪"
0,0,04/01/2024,ללא כתובת,10800-27-6,דירה בבית קומות,5,שלישית,112,"1,750,000 ₪"
16,2008,28/12/2023,חלמיש 8,11196-130-164,דירה בבית קומות,5,שתים עשרה,93,"2,280,000 ₪"
2,1990,21/12/2023,יקינתון 69,11195-1-2,דירה בבית קומות,5,חמישית,114,"2,424,200 ₪"
16,2008,14/12/2023,חלמיש 8,11196-130-163,דירה בבית קומות,4,חמש עשרה,90,"1,930,000 ₪"
5,2004,03/12/2023,שחם 2,11196-121-8,דירה בבית קומות,4,רביעית,95,"2,050,000 ₪"
13,1970,30/11/2023,בירם 3,11196-2-67,דירה בבית קומות,3,רביעית,63,"1,190,000 ₪"
17,1970,02/11/2023,בירם 11,11196-2-146,דירה בבית קומות,4,שמינית,86.5,"645,000 ₪"
16,2008,15/08/2023,חלמיש 8,11196-130-162,דירה בבית קומות,2,ראשונה,64,"944,000 ₪"
16,2008,11/08/2023,חלמיש 6,11196-130-161,דירה בבית קומות,4,חמישית,94,"1,850,000 ₪"
1,1995,26/07/2023,סלעית 7,11194-329-1,דירה בבית קומות,5,ראשונה,104,"2,750,000 ₪"
16,2008,30/06/2023,חלמיש 8,11196-130-160,דירה בבית קומות,5,שישית,110,"1,930,000 ₪"
1,1995,12/06/2023,הסחלב 9,11195-11-4,דירה בבית קומות,4,שלישית,109,"2,530,000 ₪"
1,1996,08/06/2023,סייפן 10,12842-7-1,דירת גג,5,שניה,115,"2,420,000 ₪"
5,2004,07/05/2023,שחם 2,11196-121-5,דירה בבית קומות,4,שניה,98,"2,175,000 ₪"
16,2008,30/04/2023,חלמיש 4,11196-130-159,דירה בבית קומות,4,שמינית,87,"2,330,000 ₪"
16,2008,23/03/2023,חלמיש 2,11196-130-158,דירה בבית קומות,4,אחת עשרה,79,"1,920,000 ₪"
12,1970,20/02/2023,בירם 1,11196-2-30,דירה בבית קומות,5,שמינית,129.6,"1,550,000 ₪"
12,1970,22/07/2010,בירם 1,11196-2-30,דירה בבית קומות,5,שמינית,129.6,"1,250,000 ₪"
12,1970,22/06/2007,בירם 1,11196-2-30,דירה בבית קומות,5,שמינית,129.6,"730,000 ₪"
16,2008,13/02/2023,חלמיש 4,11196-130-157,דירה בבית קומות,5,תשיעית,99,"2,200,000 ₪"
12,1970,02/02/2023,בירם 1,11196-2-5,דירה בבית קומות,2,ראשונה,70,"1,200,000 ₪"
12,1970,09/09/2015,בירם 1,11196-2-5,דירה בבית קומות,2,ראשונה,70,"900,000 ₪"
16,2008,29/01/2023,חלמיש 6,11196-130-156,דירה בבית קומות,4,שישית,111,"2,020,000 ₪"
16,2008,18/01/2023,חלמיש 6,11196-130-155,דירה בבית קומות,3,שלישית,90,"1,500,000 ₪"
16,2008,16/01/2023,חלמיש 6,11196-130-154,דירה בבית קומות,2,שניה,47,"1,220,000 ₪"
2,1995,24/11/2022,יקינתון 73,12727-4-2,דירת גג,5,שלישית,140,"1,275,000 ₪"
1,1995,18/11/2022,סייפן 13,12842-14-1,דירה בבית קומות,3,ראשונה,96,"1,750,000 ₪"
1,1993,22/09/2022,סייפן 6,12842-2-1,דירה בבית קומות,5,שניה,105,"2,050,000 ₪"
16,2008,21/09/2022,חלמיש 2,11196-130-153,דירה בבית קומות,4,שמינית,100,"1,860,000 ₪"
0,0,13/09/2022,ללא כתובת,12727-21-1,דירה בבית קומות,3,שניה,70,"1,180,000 ₪"
2,1997,12/09/2022,משה בליטנטל 50,10800-25-2,דירה בבית קומות,6,רביעית,149,"2,800,000 ₪"
0,0,09/09/2022,ללא כתובת,10800-8-3,קוטג' חד משפחתי,7,ראשונה,180,"4,150,000 ₪"
5,2003,05/09/2022,שחם 4,11196-121-18,דירה בבית קומות,4,שלישית,99,"2,100,000 ₪"
1,1990,25/08/2022,משה בליטנטל 30,12727-20-1,קוטג' חד משפחתי,5,ראשונה,220,"4,900,000 ₪"
17,1970,16/08/2022,בירם 11,11196-2-119,דירה בבית קומות,4,שניה,87.8,"1,420,000 ₪"
16,2008,31/07/2022,חלמיש 8,11196-130-152,דירה בבית קומות,2,רביעית,65,"1,270,000 ₪"
16,2008,13/07/2022,חלמיש 2,11196-130-151,דירה בבית קומות,5,חמישית,123,"1,720,000 ₪"
16,2008,11/07/2022,חלמיש 8,11196-130-150,דירה בבית קומות,3,רביעית,64,"1,540,000 ₪"
16,2008,10/07/2022,חלמיש 8,11196-130-149,דירה בבית קומות,4,עשירית,108,"1,850,000 ₪"
12,1970,04/07/2022,בירם 1,11196-2-9,דירה בבית קומות,2,שניה,65.2,"1,300,000 ₪"
12,1970,31/07/2015,בירם 1,11196-2-9,דירה בבית קומות,2,שניה,65.2,"950,000 ₪"
1,1993,09/06/2022,סייפן 4,12726-10-1,דירה בבית קומות,5,שניה,133,"2,065,000 ₪"
3,1996,07/06/2022,יקינתון 61,11195-5-5,דירה בבית קומות,5,שלישית,135,"2,300,000 ₪"
16,2008,18/05/2022,חלמיש 2,11196-130-148,דירה בבית קומות,4,אחת עשרה,103,"2,050,000 ₪"
1,1994,03/05/2022,סייפן 11,12842-6-1,דירה בבית קומות,5,ראשונה,104,"2,900,000 ₪"
0,0,14/04/2022,ללא כתובת,12727-5-1,דירה בבית קומות,5,רביעית,105,"2,400,000 ₪"
16,2008,14/04/2022,חלמיש 2,11196-130-147,דירה בבית קומות,3,רביעית,77,"1,200,000 ₪"
17,1970,24/03/2022,בירם 11,11196-2-150,דירה בבית קומות,3,תשיעית,75.4,"1,240,000 ₪"
16,2008,14/03/2022,חלמיש 8,11196-130-171,דירה בבית קומות,5,שמינית,93,"1,830,000 ₪"
16,2008,14/03/2022,חלמיש 8,11196-130-145,דירה בבית קומות,4,שמינית,115,"1,990,000 ₪"
13,1970,10/03/2022,בירם 3,11196-2-85,דירה בבית קומות,4,תשיעית,116.8,"1,430,000 ₪"
13,1970,05/09/2007,בירם 3,11196-2-85,דירה בבית קומות,4,תשיעית,116.8,"810,000 ₪"
16,2008,06/03/2022,חלמיש 2,11196-130-144,דירה בבית קומות,4,שניה,90,"1,800,000 ₪"
16,2008,27/02/2022,חלמיש 8,11196-130-143,דירה בבית קומות,2,חמישית,54,"1,236,000 ₪"
0,0,31/01/2022,ללא כתובת,10800-27-5,דירה בבית קומות,5,שלישית,166,"2,484,800 ₪"
13,1970,24/01/2022,בירם 3,11196-2-83,דירה בבית קומות,4,שמינית,65.8,"1,050,000 ₪"
13,1970,18/01/2022,בירם 3,11196-2-78,דירה בבית קומות,3,שביעית,76.1,"642,000 ₪"
13,1970,מחיר,בירם 3,11196-2-78,דירה בבית קומות,3,שביעית,76.1,1
13,1970,50%,בירם 3,11196-2-78,דירה בבית קומות,3,שביעית,76.1,"321,000 ₪"
13,1970,2,בירם 3,11196-2-78,דירה בבית קומות,3,שביעית,76.1,50%
13,1970,"321,000 ₪",בירם 3,11196-2-78,דירה בבית קומות,3,שביעית,76.1,
3,1996,29/12/2021,יקינתון 61,11195-5-3,דירה בבית קומות,5,שלישית,130,"1,750,000 ₪"
3,1996,29/12/2021,יקינתון 61,11195-5-4,לא ידוע,5,שלישית,130,"1,750,000 ₪"
0,0,14/12/2021,ללא כתובת,12727-28-1,דירת גן,5,ראשונה,110,"2,900,000 ₪"
1,1997,18/11/2021,משה בליטנטל 38,12727-17-1,דירת גן,6,ראשונה,156,"2,015,000 ₪"
16,2008,15/10/2021,חלמיש 6,11196-130-142,דירה בבית קומות,5,עשירית,110,"1,890,000 ₪"
16,2008,06/10/2021,חלמיש 6,11196-130-172,דירה בבית קומות,5,ראשונה,132,"1,863,100 ₪"
2,2000,03/10/2021,יקינתון 63,11195-3-6,דירה בבית קומות,6,שישית,163,"1,998,000 ₪"
16,2008,06/08/2021,חלמיש 2,11196-130-141,דירה בבית קומות,4,שלוש עשרה,115,"1,770,000 ₪"
2,1980,02/08/2021,יקינתון 67,11195-2-4,דירה בבית קומות,5,שניה,110,"2,050,000 ₪"
3,1970,20/07/2021,אבא חושי 33,12726-8-6,דירה בבית קומות,4,שלישית,101.15,"1,650,000 ₪"
17,1970,02/07/2021,בירם 11,11196-2-120,דירה בבית קומות,4,שניה,106.8,"1,100,000 ₪"
0,0,01/07/2021,ללא כתובת,10800-8-2,דירה בבית קומות,5,ראשונה,115,"2,700,000 ₪"
16,2008,29/06/2021,חלמיש 4,11196-130-140,דירה בבית קומות,4,רביעית,115,"1,830,000 ₪"
0,0,25/06/2021,ללא כתובת,12727-33-2,דירה בבית קומות,5,ראשונה,127,"2,550,000 ₪"
16,2008,18/06/2021,חלמיש 4,11196-130-139,דירה בבית קומות,4,שלישית,80,"1,670,000 ₪"
2,1980,13/06/2021,יקינתון 67,11195-2-3,דירה בבית קומות,5,ראשונה,115,"2,520,000 ₪"
0,0,06/06/2021,ללא כתובת,11195-101-8,דירה בבית קומות,5,שניה,111,"2,645,000 ₪"
2,1995,24/05/2021,יקינתון 73,12727-4-1,דירת גן,5,ראשונה,110,"2,700,000 ₪"
7,2009,11/05/2021,שחם 5,11196-144-2,דירה בבית קומות,5,קומה 0,126.85,"2,670,000 ₪"
7,2009,03/09/2009,שחם 5,11196-144-2,דירה בבית קומות,5,קומה 0,126.85,"1,615,000 ₪"
7,2009,25/05/2009,שחם 5,11196-144-2,דירה בבית קומות,5,קומה 0,126.85,"1,295,000 ₪"
2,2000,25/04/2021,יקינתון 63,11195-3-5,דירה בבית קומות,3,ראשונה,66,"1,053,000 ₪"
5,2004,12/04/2021,שחם 2,11196-121-2,דירה בבית קומות,4,ראשונה,98,"2,000,000 ₪"
5,2004,04/06/2009,שחם 2,11196-121-2,דירה בבית קומות,4,ראשונה,98,"1,400,000 ₪"
16,2008,03/03/2021,חלמיש 4,11196-130-173,דירה בבית קומות,5,שביעית,144,"2,300,000 ₪"
16,2008,21/02/2021,חלמיש 6,11196-130-137,דירה בבית קומות,3,שניה,77,"1,340,000 ₪"
13,1970,01/02/2021,בירם 3,11196-2-65,דירה בבית קומות,4,רביעית,116.8,"1,580,000 ₪"
13,1970,19/07/2013,בירם 3,11196-2-65,דירה בבית קומות,4,רביעית,116.8,"1,135,000 ₪"
16,2008,15/01/2021,חלמיש 4,11196-130-136,דירה בבית קומות,4,חמישית,80,"1,700,000 ₪"
16,2008,14/01/2021,חלמיש 4,11196-130-135,דירה בבית קומות,6,שישית,144,"2,400,000 ₪"
