קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
5,1970,08/04/2025,ליונל ווטסון 10,10797-38-3,דירה בבית קומות,4,שניה,113.2,"2,600,000 ₪"
5,1970,27/01/2019,ליונל ווטסון 10,10797-38-3,דירה בבית קומות,4,שניה,113.2,"2,230,000 ₪"
5,1970,05/11/2013,ליונל ווטסון 10,10797-38-3,דירה בבית קומות,4,שניה,113.2,"1,300,000 ₪"
2,1970,19/03/2025,ליונל ווטסון 16,10797-35-1,דירה בבית קומות,4.5,קרקע,100,"2,450,000 ₪"
2,1970,13/08/2014,ליונל ווטסון 16,10797-35-1,דירה בבית קומות,4.5,קרקע,100,"1,815,000 ₪"
2,1970,16/12/2009,ליונל ווטסון 16,10797-35-1,דירה בבית קומות,4.5,קרקע,100,"1,025,000 ₪"
3,1970,12/03/2025,ליונל ווטסון 5,10797-51-3,דירה בבית קומות,5,שניה,117.9,"2,600,000 ₪"
3,1970,22/04/2008,ליונל ווטסון 5,10797-51-3,דירה בבית קומות,5,שניה,117.9,"675,000 ₪"
3,1970,25/02/2025,משה סורוקה 27,10797-69-8,דירה בבית קומות,4,שניה,89.63,"2,680,000 ₪"
3,1970,02/09/2020,משה סורוקה 27,10797-69-8,דירה בבית קומות,4,שניה,89.63,"2,025,000 ₪"
3,1970,12/08/2015,משה סורוקה 27,10797-69-8,דירה בבית קומות,4,שניה,89.63,"1,520,000 ₪"
21,1980,19/02/2025,היסמין 2,10796-157-4,דירה בבית קומות,5,חמישית,107.3,"1,620,000 ₪"
21,1980,מחיר,היסמין 2,10796-157-4,דירה בבית קומות,5,חמישית,107.3,1
21,1980,50%,היסמין 2,10796-157-4,דירה בבית קומות,5,חמישית,107.3,"810,000 ₪"
21,1980,2,היסמין 2,10796-157-4,דירה בבית קומות,5,חמישית,107.3,50%
21,1980,"810,000 ₪",היסמין 2,10796-157-4,דירה בבית קומות,5,חמישית,107.3,
21,1980,17/02/2025,היסמין 2,10796-157-170,קוטג' דו משפחתי,7,"קרקע, ראשונה, שניה",162.79,"3,600,000 ₪"
2,2023,11/02/2025,ליונל ווטסון 11,10797-54-2,דירה בבית קומות,6,ראשונה,84.5,"4,581,000 ₪"
2,2023,30/10/2023,ליונל ווטסון 11,10797-54-2,דירה בבית קומות,6,ראשונה,84.5,"3,900,000 ₪"
3,1980,11/02/2025,שימקין 12,10797-90-9,דירה בבית קומות,3,שלישית,93.92,"1,800,000 ₪"
3,1980,24/05/2011,שימקין 12,10797-90-9,דירה בבית קומות,3,שלישית,93.92,"1,100,000 ₪"
2,1970,29/01/2025,אבא חושי 8,10797-46-2,דירה בבית קומות,5,שניה,111.9,"2,315,000 ₪"
2,1970,14/12/2008,אבא חושי 8,10797-46-2,דירה בבית קומות,5,שניה,111.9,"1,237,000 ₪"
4,1980,29/01/2025,שימקין 1,10797-149-36,דירה בבית קומות,4,רביעית,94.65,"2,000,000 ₪"
4,1980,11/12/2010,שימקין 1,10797-149-36,דירה בבית קומות,4,רביעית,94.65,"1,335,000 ₪"
4,1980,18/03/2005,שימקין 1,10797-149-36,דירה בבית קומות,4,רביעית,94.65,"810,000 ₪"
4,1980,29/08/2004,שימקין 1,10797-149-36,דירה בבית קומות,4,רביעית,94.65,"827,000 ₪"
1,1989,28/01/2025,אריה כרוך 2,10796-90-3,דירה בבית קומות,5,ראשונה ושניה,134.54,"2,875,000 ₪"
21,1980,22/01/2025,היסמין 2,10796-157-105,דירה בבית קומות,4,שש עשרה,98.74,"1,660,000 ₪"
3,1978,19/01/2025,שימקין 34,10797-79-13,דירה בבית קומות,4,שלישית,93.12,"1,545,000 ₪"
3,2021,09/01/2025,ליונל ווטסון 13,10797-55-7,דירה בבית קומות,4,שניה,95.3,"2,690,000 ₪"
2,1970,05/01/2025,ליונל ווטסון 16,10797-35-2,דירה בבית קומות,3.5,ראשונה,87.6,"1,870,000 ₪"
2,1970,17/05/2017,ליונל ווטסון 16,10797-35-2,דירה בבית קומות,3.5,ראשונה,87.6,"1,510,000 ₪"
5,1970,25/12/2024,ליונל ווטסון 10,10797-38-27,דירה בבית קומות,5,שניה,104.4,"2,560,000 ₪"
5,1970,28/02/2024,ליונל ווטסון 10,10797-38-27,דירה בבית קומות,5,שניה,104.4,"2,100,000 ₪"
3,1970,06/12/2024,אידר 47,10797-103-10,דירה בבית קומות,4,שניה,92.3,"2,000,000 ₪"
4,1998,25/11/2024,משה סורוקה 51,10796-150-9,דירה בבית קומות,5,שניה + שלישית,158.09,"2,940,000 ₪"
4,1998,16/02/2022,משה סורוקה 51,10796-150-9,דירה בבית קומות,5,שניה + שלישית,158.09,"2,550,000 ₪"
4,1998,29/12/2009,משה סורוקה 51,10796-150-9,דירה בבית קומות,5,שניה + שלישית,158.09,"1,600,000 ₪"
4,1998,04/06/1998,משה סורוקה 51,10796-150-9,דירה בבית קומות,5,שניה + שלישית,158.09,"1,154,000 ₪"
2,1994,21/11/2024,צבי בן יעקב 4,10796-126-4,דירה בבית קומות,4,"קרקע,ראשונה",105.29,"1,475,000 ₪"
2,1994,23/02/2017,צבי בן יעקב 4,10796-126-4,דירה בבית קומות,4,"קרקע,ראשונה",105.29,"2,300,000 ₪"
3,2001,21/11/2024,אבא חושי 20,10798-50-4,דירה בבית קומות,4,שלישית,82.76,"1,830,000 ₪"
3,2001,10/08/1999,אבא חושי 20,10798-50-4,דירה בבית קומות,4,שלישית,82.76,"1,131,000 ₪"
5,1995,20/11/2024,ג'ניה טברסקי 3,10796-148-32,דירה בבית קומות,4,חמישית,109.11,"2,400,000 ₪"
5,1995,08/05/2022,ג'ניה טברסקי 3,10796-148-32,דירה בבית קומות,4,חמישית,109.11,"1,900,000 ₪"
5,1995,11/11/2014,ג'ניה טברסקי 3,10796-148-32,דירה בבית קומות,4,חמישית,109.11,"1,650,000 ₪"
5,1995,06/04/2005,ג'ניה טברסקי 3,10796-148-32,דירה בבית קומות,4,חמישית,109.11,"992,000 ₪"
6,1970,19/11/2024,ליונל ווטסון 20,10797-33-5,דירה בבית קומות,4,שלישית,115.9,"2,550,000 ₪"
6,1970,05/10/2010,ליונל ווטסון 20,10797-33-5,דירה בבית קומות,4,שלישית,115.9,"1,025,000 ₪"
21,1980,18/11/2024,היסמין 2,10796-157-135,דירה בבית קומות,5,"חמישית, שישית",155.59,"298,000 ₪"
3,2001,17/11/2024,אבא חושי 20,10798-50-11,דירה בבית קומות,5,רביעית וחמישית,129.73,"2,400,000 ₪"
3,2001,07/09/2010,אבא חושי 20,10798-50-11,דירה בבית קומות,5,רביעית וחמישית,129.73,"1,750,000 ₪"
3,2001,17/11/1999,אבא חושי 20,10798-50-11,דירה בבית קומות,5,רביעית וחמישית,129.73,"1,432,000 ₪"
0,0,13/11/2024,ללא כתובת,10680-94-5,קרקע למגורים,לא ידוע,לא ידוע,1005,"2,431,000 ₪"
0,0,13/11/2024,ללא כתובת,10680-94-4,קרקע למגורים,לא ידוע,לא ידוע,462,"2,068,000 ₪"
2,1960,04/11/2024,חורב 34,10785-7-10,דירה בבית קומות,6,קרקע,110.78,"1,760,000 ₪"
2,1960,11/02/2005,חורב 34,10785-7-10,דירה בבית קומות,6,קרקע,110.78,"875,000 ₪"
5,1980,03/11/2024,אידר 15,10785-24-7,דירה בבית קומות,5,ראשונה,115,"3,253,000 ₪"
5,1980,13/01/2012,אידר 15,10785-24-7,דירה בבית קומות,5,ראשונה,115,"1,875,000 ₪"
6,1995,03/11/2024,ג'ניה טברסקי 9,10796-148-6,דירה בבית קומות,5,קרקע,114.92,"3,330,000 ₪"
6,1995,10/05/2005,ג'ניה טברסקי 9,10796-148-6,דירה בבית קומות,5,קרקע,114.92,"1,369,000 ₪"
6,1995,29/05/2001,ג'ניה טברסקי 9,10796-148-6,דירה בבית קומות,5,קרקע,114.92,"1,038,000 ₪"
2,1960,21/10/2024,משה סורוקה 3,10798-44-1,דירה בבית קומות,2,קרקע,51,"1,525,000 ₪"
2,1960,21/08/2019,משה סורוקה 3,10798-44-1,דירה בבית קומות,2,קרקע,51,"1,150,000 ₪"
3,1970,09/10/2024,אידר 46,10795-3-8,דירה בבית קומות,5,ראשונה,93.4,"2,315,000 ₪"
3,1970,18/12/2016,אידר 46,10795-3-8,דירה בבית קומות,5,ראשונה,93.4,"1,830,000 ₪"
3,1970,02/11/2009,אידר 46,10795-3-8,דירה בבית קומות,5,ראשונה,93.4,"900,000 ₪"
3,1970,05/02/2003,אידר 46,10795-3-8,דירה בבית קומות,5,ראשונה,93.4,"830,000 ₪"
2,1970,24/09/2024,בני ברית 14,10796-94-5,דירה בבית קומות,5,רביעית חמישית,111.93,"2,300,000 ₪"
2,1997,23/09/2024,משה סורוקה 49,10796-149-10,דירה בבית קומות,4,ראשונה,113.16,"2,300,000 ₪"
2,1997,24/08/2007,משה סורוקה 49,10796-149-10,דירה בבית קומות,4,ראשונה,113.16,"1,060,000 ₪"
3,1970,11/09/2024,אידר 44,10795-2-2,דירה בבית קומות,3,ראשונה,92.2,"450,000 ₪"
3,1970,10/08/2023,אידר 44,10795-2-2,דירה בבית קומות,3,ראשונה,92.2,"225,000 ₪"
3,1970,11/09/2024,ליונל ווטסון 3,10797-50-2,דירה בבית קומות,2,קרקע,29,"1,360,000 ₪"
0,0,02/09/2024,ללא כתובת,10682-65-2,קרקע למגורים,לא ידוע,לא ידוע,1052,"1,650,000 ₪"
0,0,27/08/2024,ללא כתובת,10682-65-1,ללא תיכנון,לא ידוע,לא ידוע,1052,"1,650,000 ₪"
4,1980,22/08/2024,הרב אסף דוד 10,10796-72-3,דירה בבית קומות,5,שניה שלישית רביעית,129.29,"3,500,000 ₪"
4,1980,10/05/2007,הרב אסף דוד 10,10796-72-3,דירה בבית קומות,5,שניה שלישית רביעית,129.29,"1,045,000 ₪"
3,1970,14/08/2024,משה סורוקה 25,10797-68-6,דירה בבית קומות,4,שלישית,92,"1,665,000 ₪"
3,1970,21/03/2011,משה סורוקה 25,10797-68-6,דירה בבית קומות,4,שלישית,92,"1,165,000 ₪"
3,1970,24/07/2024,שימקין 7,10797-17-1,דירה בבית קומות,3,קרקע,52.24,"1,550,000 ₪"
3,1970,24/07/2016,שימקין 7,10797-17-1,דירה בבית קומות,3,קרקע,52.24,"1,040,000 ₪"
21,1980,17/07/2024,היסמין 2,10796-157-80,דירה בבית קומות,4,עשירית,101.63,"1,868,600 ₪"
21,1980,04/09/2002,היסמין 2,10796-157-80,דירה בבית קומות,4,עשירית,101.63,"920,000 ₪"
0,0,12/07/2024,ללא כתובת,10680-41-2,מגורים,לא ידוע,לא ידוע,382,"950,000 ₪"
3,1970,02/07/2024,ליונל ווטסון 4,10797-41-3,דירה בבית קומות,4.5,שניה,90.1,"2,150,000 ₪"
3,1970,19/03/2017,ליונל ווטסון 4,10797-41-3,דירה בבית קומות,4.5,שניה,90.1,"1,620,000 ₪"
0,0,30/06/2024,ללא כתובת,10680-18-2,קרקע למגורים,לא ידוע,לא ידוע,1057,"1,096,000 ₪"
4,1982,24/06/2024,שימקין 3,10797-149-2,דירה בבית קומות,4,ראשונה,96.09,"1,780,000 ₪"
3,1997,21/06/2024,בני ברית 6,10796-98-3,דירה בבית קומות,5,"מרתף,קרקע,ראשנה,שניה",187,"3,200,000 ₪"
3,1997,11/09/2001,בני ברית 6,10796-98-3,דירה בבית קומות,5,"מרתף,קרקע,ראשנה,שניה",187,"1,064,000 ₪"
2,2023,19/06/2024,ליונל ווטסון 11,10797-54-3,דירה בבית קומות,3,שניה,88.7,"2,280,000 ₪"
2,1970,13/06/2024,משה סורוקה 11,10797-61-5,דירה בבית קומות,4,שניה,91.7,"2,100,000 ₪"
3,1970,09/06/2024,ליונל ווטסון 4,10797-41-15,דירה בבית קומות,4,שניה,100.2,"2,300,000 ₪"
3,1970,24/11/2002,ליונל ווטסון 4,10797-41-15,דירה בבית קומות,4,שניה,100.2,"650,000 ₪"
1,1980,30/05/2024,אורי צבי גרינברג 19,10796-88-3,דירה בבית קומות,5,ראשונה ושניה,137.2,"3,200,000 ₪"
2,1980,23/05/2024,אידר 48,10795-4-4,דירה בבית קומות,4,שלישית,110,"1,500,000 ₪"
21,1980,12/05/2024,היסמין 2,10796-157-55,דירה בבית קומות,4,רביעית,109.26,"1,820,000 ₪"
21,1980,19/01/2015,היסמין 2,10796-157-55,דירה בבית קומות,4,רביעית,109.26,"1,460,000 ₪"
21,1980,09/07/2004,היסמין 2,10796-157-55,דירה בבית קומות,4,רביעית,109.26,"716,000 ₪"
