קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
16,1970,30/03/2025,אורן 29,11192-316-7,דירה בבית קומות,3,שלישית,62.25,"1,200,000 ₪"
16,1970,08/04/2019,אורן 29,11192-316-7,דירה בבית קומות,3,שלישית,62.25,"1,045,000 ₪"
16,1970,07/05/2013,אורן 29,11192-316-7,דירה בבית קומות,3,שלישית,62.25,"810,000 ₪"
16,1970,14/08/2001,אורן 29,11192-316-7,דירה בבית קומות,3,שלישית,62.25,"431,000 ₪"
14,1960,17/03/2025,הפרחים 5,11192-288-13,דירה בבית קומות,3,שלישית,52,"450,000 ₪"
22,1970,13/03/2025,אורן 23,11192-345-113,דירה בבית קומות,4,עשרים,106.82,"1,560,000 ₪"
13,1970,13/03/2025,הפרחים 9,11192-271-15,דירה בבית קומות,3,שלישית,59.23,"1,060,000 ₪"
7,1960,05/03/2025,אורן 5,11192-245-10,דירה בבית קומות,3,רביעית,70,"1,544,000 ₪"
7,1960,20/09/2022,אורן 5,11192-245-10,דירה בבית קומות,3,רביעית,70,"1,408,000 ₪"
7,1960,20/12/2018,אורן 5,11192-245-10,דירה בבית קומות,3,רביעית,70,"950,000 ₪"
13,1970,23/02/2025,הפרחים 11,11192-270-58,דירה בבית קומות,3,אחת עשרה,61.3,"550,000 ₪"
3,1970,13/02/2025,אורן 25,11192-334-10,חנות,לא ידוע,קרקע,27.6,"300,000 ₪"
14,1970,07/02/2025,הפרחים 3,11192-273-49,דירה בבית קומות,3,תשיעית,52,"1,180,000 ₪"
14,1970,02/03/2016,הפרחים 3,11192-273-49,דירה בבית קומות,3,תשיעית,52,"686,000 ₪"
13,1970,02/02/2025,הפרחים 11,11192-270-16,דירה בבית קומות,3,רביעית,61.3,"1,080,000 ₪"
13,1970,13/05/2018,הפרחים 11,11192-270-16,דירה בבית קומות,3,רביעית,61.3,"950,000 ₪"
13,1970,25/01/2009,הפרחים 11,11192-270-16,דירה בבית קומות,3,רביעית,61.3,"460,000 ₪"
4,1960,26/01/2025,אורן 32,11192-262-7,דירה בבית קומות,3,שניה,74.25,"1,550,000 ₪"
