קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
8,1980,25/03/2025,פרויד 42,10794-178-28,דירה בבית קומות,4,קומה 7,85.3,"2,050,000 ₪"
8,1980,06/03/2017,פרויד 42,10794-178-28,דירה בבית קומות,4,קומה 7,85.3,"625,000 ₪"
8,1980,11/01/2017,פרויד 42,10794-178-28,דירה בבית קומות,4,קומה 7,85.3,"1,250,000 ₪"
8,1980,03/09/1998,פרויד 42,10794-178-28,דירה בבית קומות,4,קומה 7,85.3,"763,000 ₪"
3,1960,17/03/2025,פרויד 22,10785-67-11,דירה בבית קומות,5,שישית,102,"2,690,000 ₪"
12,1994,13/03/2025,ראול ולנברג 32,10787-138-2,דירה בבית קומות,5,ראשונה ושניה,123.96,"3,225,000 ₪"
12,1994,27/12/2018,ראול ולנברג 32,10787-138-2,דירה בבית קומות,5,ראשונה ושניה,123.96,"1,744,000 ₪"
1,2002,01/03/2025,טוסקניני 1,10792-238-3,דירה בבית קומות,7,לא ידוע,125,"2,200,000 ₪"
5,1989,28/02/2025,ראול ולנברג 4,10794-127-1,דירה בבית קומות,5,קרקע,140.6,"2,850,000 ₪"
13,1980,21/02/2025,פרויד 44,10794-178-83,דירה בבית קומות,4,קומה 13,86.5,"1,700,000 ₪"
13,1980,11/02/2025,פרויד 44,10794-178-51,דירה בבית קומות,4,קומה 5,86.9,"1,905,000 ₪"
13,1980,14/11/2021,פרויד 44,10794-178-51,דירה בבית קומות,4,קומה 5,86.9,"1,500,000 ₪"
0,0,02/02/2025,ללא כתובת,10789-115-9,קרקע למגורים,לא ידוע,לא ידוע,61,"690,000 ₪"
0,0,29/01/2025,ללא כתובת,10789-115-8,קרקע למגורים,לא ידוע,לא ידוע,61,"640,000 ₪"
0,0,26/01/2025,ללא כתובת,10789-115-7,קרקע למגורים,לא ידוע,לא ידוע,61,"690,000 ₪"
4,1989,01/01/2025,מארק שאגאל 7,10794-87-4,דירת גג,6,שלישית ורביעית,176.8,"3,600,000 ₪"
6,1970,29/12/2024,פרויד 12,10785-73-9,דירה בבית קומות,4,שלישית,111.35,"1,775,000 ₪"
0,0,18/12/2024,ללא כתובת,10789-115-6,קרקע למגורים,לא ידוע,לא ידוע,61,"665,000 ₪"
2,1996,18/12/2024,ראול ולנברג 41,10792-167-2,דירה בבית קומות,7,קרקע ראשונה שניה ושלישית,177.96,"1,350,000 ₪"
4,2009,16/12/2024,פרויד 39,10785-53-2,דירה בבית קומות,4,שניה,103.15,"1,950,000 ₪"
4,2009,20/12/2009,פרויד 39,10785-53-2,דירה בבית קומות,4,שניה,103.15,"969,000 ₪"
0,0,05/12/2024,ללא כתובת,10789-115-5,קרקע למגורים,לא ידוע,לא ידוע,61,"690,000 ₪"
0,0,01/12/2024,ללא כתובת,10789-115-4,קרקע למגורים,לא ידוע,לא ידוע,30,"345,000 ₪"
0,0,21/11/2024,ללא כתובת,10789-115-2,קרקע למגורים,לא ידוע,לא ידוע,61,"690,000 ₪"
0,0,20/11/2024,ללא כתובת,10789-115-1,קרקע למגורים,לא ידוע,לא ידוע,61,"690,000 ₪"
0,0,13/11/2024,ללא כתובת,10789-122-8,קרקע למגורים,לא ידוע,לא ידוע,61,"690,000 ₪"
0,0,11/11/2024,ללא כתובת,10789-122-7,קרקע למגורים,לא ידוע,לא ידוע,60,"690,000 ₪"
12,1994,06/11/2024,ראול ולנברג 32,10787-138-18,דירה בבית קומות,5,שלישית ורביעית,123.52,"3,050,000 ₪"
0,0,05/11/2024,ללא כתובת,10789-122-6,קרקע למגורים,לא ידוע,לא ידוע,61,"690,000 ₪"
3,1993,28/10/2024,ראול ולנברג 12,10794-131-6,דירה בבית קומות,5,רביעית + עליית גג,134.97,"2,305,000 ₪"
0,1988,15/10/2024,סירני 15,10792-178-1,דירת גן,6,קרקע ראשונה שניה ושלישית,201.47,"2,112,000 ₪"
4,1989,30/09/2024,אלברט שוויצר 35,10793-58-6,דירה בבית קומות,6,"קומה 1, קומה 2, קומה 3, קומה 4",164.3,"2,670,000 ₪"
3,1989,19/09/2024,מארק שאגאל 15,10794-91-4,דירה בבית קומות,4,שניה,110.15,"2,050,000 ₪"
4,1970,15/09/2024,מארק שאגאל 2,10785-112-2,דירה בבית קומות,5,"קומה 2, קומה 3",133.9,"1,825,000 ₪"
0,1980,12/09/2024,סירני 1,10792-172-4,דירה בבית קומות,5,קרקע ראשונה שניה,167.56,"2,500,000 ₪"
0,1980,02/04/2014,סירני 1,10792-172-4,דירה בבית קומות,5,קרקע ראשונה שניה,167.56,"2,300,000 ₪"
4,1990,30/08/2024,גיבורי גטו ורשה 10,10792-204-1,דירה בבית קומות,4,קרקע,121.12,"1,385,000 ₪"
8,1980,19/08/2024,פרויד 42,10794-178-8,דירה בבית קומות,4,קומה 2,85.1,"1,650,000 ₪"
8,1980,07/10/2008,פרויד 42,10794-178-8,דירה בבית קומות,4,קומה 2,85.1,"600,000 ₪"
