קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
4,1980,13/03/2025,אהרונסון 12,12260-1-5,דירה בבית קומות,5.5,שניה שלישית רביעית,150.96,"2,250,000 ₪"
1,1992,06/01/2025,גולדה מאיר 23,10800-173-3,דירה בבית קומות,6,ראשונה שניה ושלישית,164.5,"3,400,000 ₪"
1,1992,17/09/2013,גולדה מאיר 23,10800-173-3,דירה בבית קומות,6,ראשונה שניה ושלישית,164.5,"2,500,000 ₪"
3,1994,24/12/2024,אבא חושי 46,12259-102-3,דירה בבית קומות,3,שניה,61.2,"1,250,000 ₪"
3,1994,15/02/2004,אבא חושי 46,12259-102-3,דירה בבית קומות,3,שניה,61.2,"594,000 ₪"
0,1995,18/12/2024,רובינא חנה 1,10800-161-1,דירה בבית קומות,5,קרקע ראשונה ושניה,180,"3,600,000 ₪"
3,1993,08/10/2024,אהרונסון 10,12260-3-5,דירה בבית קומות,5,ראשונה,107,"1,560,000 ₪"
0,1994,03/09/2024,גולדה מאיר 17,10800-170-2,דירה בבית קומות,5,קרקע+ראשונה+שניה,208.79,"3,225,000 ₪"
1,1995,14/08/2024,רחל כגן 10,12259-99-5,דירה בבית קומות,5,שלישית רביעית,128.1,"1,940,000 ₪"
1,1995,22/06/2020,רחל כגן 10,12259-99-5,דירה בבית קומות,5,שלישית רביעית,128.1,"1,585,000 ₪"
9,1990,09/08/2024,חיים לסקוב 47,10800-207-4,דירה בבית קומות,5,ראשונה ושניה,116.42,"3,000,000 ₪"
9,1990,26/12/2017,חיים לסקוב 47,10800-207-4,דירה בבית קומות,5,ראשונה ושניה,116.42,"2,000,000 ₪"
3,1986,28/07/2024,יונה אנגל 4,12260-19-4,דירה בבית קומות,4.5,שלישית,125,"1,820,000 ₪"
3,1980,24/07/2024,יחזקאל קויפמן 33,12260-6-4,דירה בבית קומות,5,שניה,95.33,"2,488,000 ₪"
3,1980,31/10/2014,יחזקאל קויפמן 33,12260-6-4,דירה בבית קומות,5,שניה,95.33,"1,650,000 ₪"
3,1980,14/07/2014,יחזקאל קויפמן 33,12260-6-4,דירה בבית קומות,5,שניה,95.33,"725,000 ₪"
1,1991,14/07/2024,חיים לסקוב 7,12260-30-5,דירה בבית קומות,5,ראשונה,200,"3,250,000 ₪"
3,1990,25/06/2024,יחזקאל קויפמן 21,12259-83-3,דירה בבית קומות,5,שניה שלישית ורביעית,130.27,"1,725,000 ₪"
3,1990,07/03/2021,יחזקאל קויפמן 21,12259-83-3,דירה בבית קומות,5,שניה שלישית ורביעית,130.27,"1,750,000 ₪"
3,1990,02/05/2007,יחזקאל קויפמן 21,12259-83-3,דירה בבית קומות,5,שניה שלישית ורביעית,130.27,"975,000 ₪"
3,1972,25/06/2024,יחזקאל קויפמן 5,10798-56-7,דירה בבית קומות,4,שלישית,93.55,"600,000 ₪"
3,1972,28/01/2007,יחזקאל קויפמן 5,10798-56-7,דירה בבית קומות,4,שלישית,93.55,"598,000 ₪"
3,1972,21/02/2000,יחזקאל קויפמן 5,10798-56-7,דירה בבית קומות,4,שלישית,93.55,"717,000 ₪"
0,0,18/06/2024,ללא כתובת,12258-23-1,קרקע למגורים,לא ידוע,לא ידוע,992,"1,433,000 ₪"
0,0,18/06/2024,ללא כתובת,12258-25-1,קרקע למגורים,לא ידוע,לא ידוע,940,"1,361,000 ₪"
0,0,18/06/2024,ללא כתובת,12258-24-1,קרקע למגורים,לא ידוע,לא ידוע,1064,"1,537,000 ₪"
1,1986,04/06/2024,חיים לסקוב 9,10800-155-3,קוטג' דו משפחתי,6,ראשונה,263,"5,900,000 ₪"
0,0,27/05/2024,ללא כתובת,12258-51-1,קרקע למגורים,לא ידוע,לא ידוע,964,"2,350,000 ₪"
2,1994,12/05/2024,גולדה מאיר 41,10800-212-3,דירה בבית קומות,6,שניה שלישית ורביעית,168.86,"4,000,000 ₪"
0,1986,15/02/2024,גולדה מאיר 50,10800-231-2,דירה בבית קומות,9,"קרקע,ראשונה ושניה",199.5,"4,550,000 ₪"
0,1986,08/12/2011,גולדה מאיר 50,10800-231-2,דירה בבית קומות,9,"קרקע,ראשונה ושניה",199.5,"2,825,000 ₪"
0,1986,10/02/2005,גולדה מאיר 50,10800-231-2,דירה בבית קומות,9,"קרקע,ראשונה ושניה",199.5,"2,192,000 ₪"
2,1986,12/02/2024,חנה רובינא 10,10800-153-1,דירה בבית קומות,6,קרקע+ראשונה,126.5,"1,050,000 ₪"
1,1984,11/02/2024,חיים לסקוב 42,10800-208-3,דירה בבית קומות,5,ראשונה שניה ושלישית,163.11,"4,050,000 ₪"
2,1985,25/01/2024,יחזקאל קויפמן 28,12260-18-2,דירת גג,5,שלישית,165,"4,700,000 ₪"
0,1989,24/01/2024,יונה אנגל 6,12260-20-5,דירה בבית קומות,4.5,ראשונה,100,"2,000,000 ₪"
0,1989,24/01/2024,יונה אנגל 6,12260-20-6,דירה בבית קומות,6.5,שניה,129,"2,400,000 ₪"
7,1980,07/11/2023,אבא חושי 54,12259-100-2,דירה בבית קומות,5,ראשונה,97.51,"1,680,000 ₪"
7,1980,16/08/2016,אבא חושי 54,12259-100-2,דירה בבית קומות,5,ראשונה,97.51,"141,000 ₪"
7,1980,10/05/2012,אבא חושי 54,12259-100-2,דירה בבית קומות,5,ראשונה,97.51,"100,000 ₪"
0,0,20/09/2023,ללא כתובת,12258-29-1,ללא תיכנון,לא ידוע,לא ידוע,1119,"2,300,000 ₪"
2,1995,20/09/2023,אנדה עמיר 3,12260-28-7,דירה בבית קומות,4,שניה,108,"1,580,000 ₪"
0,1991,31/08/2023,יונה אנגל 6,12260-20-4,דירה בבית קומות,5.5,שלישית,120,"2,140,000 ₪"
2,1984,14/08/2023,יחזקאל קויפמן 29,12260-2-3,דירה בבית קומות,5,ראשונה,106,"2,500,000 ₪"
1,1985,13/08/2023,אנדה עמיר 1,12260-29-1,דירה בבית קומות,6,ראשונה,180,"4,150,000 ₪"
2,1995,07/08/2023,יחזקאל קויפמן 23,12259-84-6,דירה בבית קומות,4,שלישית ורביעית,124,"2,150,000 ₪"
5,1993,01/08/2023,חיים לסקוב 3,12260-32-11,דירה בבית קומות,3,שישית,80,"1,750,000 ₪"
5,1993,01/08/2023,חיים לסקוב 3,12260-32-10,ללא תיכנון,לא ידוע,לא ידוע,לא ידוע,"50,000 ₪"
2,1990,27/07/2023,חנה רובינא 2,10800-160-12,דירה בבית קומות,5,קרקע ראשונה שניה,118.09,"2,300,000 ₪"
1,1986,16/07/2023,יחזקאל קויפמן 35,12260-8-2,דירה בבית קומות,4,שלישית,123,"2,080,000 ₪"
4,1989,03/07/2023,יחזקאל קויפמן 26,12260-16-5,דירה בבית קומות,4,ראשונה,100,"1,530,000 ₪"
1,1990,22/06/2023,חנה רובינא 12,10800-154-5,דירה בבית קומות,5,מרתף ו-קרקע ו-ראשונה,140.5,"2,475,000 ₪"
2,1990,15/06/2023,גולדה מאיר 8,12260-41-4,דירה בבית קומות,5,רביעית,94,"2,046,000 ₪"
5,1993,24/05/2023,חיים לסקוב 3,12260-32-8,דירה בבית קומות,3,שניה,78,"258,000 ₪"
1,1980,16/05/2023,יחזקאל קויפמן 13,10798-60-1,דירה בבית קומות,4.5,עמודים,105.7,"2,750,000 ₪"
4,1996,14/05/2023,יחזקאל קויפמן 18,12259-92-1,דירה בבית קומות,4,קרקע,116.6,"2,700,000 ₪"
1,1970,11/05/2023,חנה רובינא 8,10800-157-3,דירה בבית קומות,5,ראשונה,160,"1,500,000 ₪"
3,1987,20/04/2023,יונה אנגל 9,12260-23-3,דירת גג,5,שניה שלישית,151,"3,000,000 ₪"
12,1990,22/02/2023,גולדה מאיר 31,10800-192-14,דירה בבית קומות,5,רביעית,130.72,"3,100,000 ₪"
12,1990,08/05/2014,גולדה מאיר 31,10800-192-14,דירה בבית קומות,5,רביעית,130.72,"2,760,000 ₪"
3,1981,12/02/2023,קויפמן יחזקאל 27,12259-96-6,דירה בבית קומות,5,רביעית,153.8,"2,850,000 ₪"
0,0,05/02/2023,ללא כתובת,12259-14-1,קרקע למגורים,לא ידוע,לא ידוע,933,"2,900,000 ₪"
2,1984,03/02/2023,יחזקאל קויפמן 29,12260-2-4,דירה בבית קומות,6,שלישית,122,"4,000,000 ₪"
2,1986,22/01/2023,פנחס רוזן 5,12259-89-4,דירה בבית קומות,4,ראשונה ושניה,107.2,"1,100,000 ₪"
2,1986,14/02/2019,פנחס רוזן 5,12259-89-4,דירה בבית קומות,4,ראשונה ושניה,107.2,"1,960,000 ₪"
2,1986,14/05/2014,פנחס רוזן 5,12259-89-4,דירה בבית קומות,4,ראשונה ושניה,107.2,"1,700,000 ₪"
9,1990,26/12/2022,חיים לסקוב 47,10800-207-12,דירה בבית קומות,5,שלישית ורביעית,131.1,"1,850,000 ₪"
2,1998,06/12/2022,אמה לזרוס 4,12259-146-3,דירה בבית קומות,4,ראשונה,93.68,"2,000,000 ₪"
0,1985,03/11/2022,חיים לסקוב 36,10800-200-3,דירה בבית קומות,5,"קרקע, ראשונה ושניה",116.9,"1,430,000 ₪"
2,1984,25/09/2022,יונה אנגל 11,12260-24-2,דירה בבית קומות,5,שניה,160,"3,325,000 ₪"
2,1995,08/09/2022,אנדה עמיר 3,12260-28-6,דירה בבית קומות,5,שניה,125,"1,525,000 ₪"
3,1993,04/09/2022,אהרונסון 10,12260-3-4,דירה בבית קומות,5,שלישית,118,"2,775,000 ₪"
2,1990,04/08/2022,חיים לסקוב 25,10800-184-1,דירה בבית קומות,4,קרקע,81.95,"2,020,200 ₪"
0,0,06/07/2022,ללא כתובת,12260-31-5,דירה בבית קומות,4,שלישית,100,"2,120,000 ₪"
0,1998,04/07/2022,יונה אנגל 5,12260-22-1,דירה בבית קומות,6,ראשונה,161,"3,800,000 ₪"
2,1995,08/06/2022,גולדה מאיר 9,10800-166-5,דירה בבית קומות,5,ראשונה ושניה,125.2,"2,400,000 ₪"
2,1995,22/02/2011,גולדה מאיר 9,10800-166-5,דירה בבית קומות,5,ראשונה ושניה,125.2,"2,214,000 ₪"
2,1995,04/06/2008,גולדה מאיר 9,10800-166-5,דירה בבית קומות,5,ראשונה ושניה,125.2,"1,260,000 ₪"
2,1995,19/06/2003,גולדה מאיר 9,10800-166-5,דירה בבית קומות,5,ראשונה ושניה,125.2,"1,311,000 ₪"
7,1980,02/06/2022,אבא חושי 54,12259-100-1,דירה בבית קומות,5,ראשונה,100.17,"1,666,000 ₪"
7,1980,11/11/2007,אבא חושי 54,12259-100-1,דירה בבית קומות,5,ראשונה,100.17,"1,079,000 ₪"
2,1986,24/05/2022,חנה רובינא 10,10800-153-6,דירה בבית קומות,5,שלישית+ רביעית,129,"2,450,000 ₪"
2,1990,15/05/2022,חנה רובינא 2,10800-160-9,חנות,לא ידוע,ראשונה,64.02,"550,000 ₪"
2,1980,10/04/2022,פנחס רוזן 3,12259-86-2,דירה בבית קומות,4,ראשונה,93,"1,750,000 ₪"
2,1980,20/03/2022,חיים לסקוב 17,10800-163-2,דירה בבית קומות,5,קרקע וראשונה,140.7,"2,900,000 ₪"
4,1989,15/03/2022,יחזקאל קויפמן 26,12260-15-6,דירה בבית קומות,7,ראשונה,175,"3,350,000 ₪"
