קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
19,1970,29/04/2025,לאון בלום 28,10870-40-239,דירה בבית קומות,3,תשיעית,64,"1,180,000 ₪"
19,1970,27/06/2017,לאון בלום 28,10870-40-239,דירה בבית קומות,3,תשיעית,64,"880,000 ₪"
2,1950,03/03/2025,חנה סנש 18,12529-6-2,דירה בבית קומות,2.5,ראשונה,54.33,"1,150,000 ₪"
11,1960,26/02/2025,לאון בלום 8,10870-34-56,דירה בבית קומות,3,שלישית,65.18,"1,020,000 ₪"
19,1970,25/02/2025,לאון בלום 28,10870-40-152,דירה בבית קומות,4,חמש עשרה,86,"1,250,000 ₪"
19,1970,25/08/2020,לאון בלום 28,10870-40-152,דירה בבית קומות,4,חמש עשרה,86,"1,060,000 ₪"
19,1970,14/03/2012,לאון בלום 28,10870-40-152,דירה בבית קומות,4,חמש עשרה,86,"750,000 ₪"
11,1960,31/12/2024,בלום לאון 2,10870-23-35,דירה בבית קומות,3.5,שניה,79.7,"550,000 ₪"
19,1970,26/12/2024,לאון בלום 28,10870-40-290,דירה בבית קומות,4,חמישית,86,"1,325,000 ₪"
19,1970,04/04/2019,לאון בלום 28,10870-40-290,דירה בבית קומות,4,חמישית,86,"1,040,000 ₪"
19,1970,31/12/2017,לאון בלום 28,10870-40-290,דירה בבית קומות,4,חמישית,86,"918,000 ₪"
11,1960,18/12/2024,בלום לאון 2,10870-23-71,דירה בבית קומות,4,שישית,79.7,"1,290,000 ₪"
11,1960,09/07/2021,בלום לאון 2,10870-23-71,דירה בבית קומות,4,שישית,79.7,"602,000 ₪"
11,1960,28/07/2010,בלום לאון 2,10870-23-71,דירה בבית קומות,4,שישית,79.7,"790,000 ₪"
11,1960,09/03/2008,בלום לאון 2,10870-23-71,דירה בבית קומות,4,שישית,79.7,"460,000 ₪"
11,1960,19/06/2001,בלום לאון 2,10870-23-71,דירה בבית קומות,4,שישית,79.7,"417,000 ₪"
11,1960,12/12/2024,לאון בלום 8,10870-34-192,דירה בבית קומות,4,תשיעית,67.14,"1,050,000 ₪"
11,1960,03/01/2012,לאון בלום 8,10870-34-192,דירה בבית קומות,4,תשיעית,67.14,"599,000 ₪"
11,1960,04/12/2024,לאון בלום 8,10870-34-110,דירה בבית קומות,3,חמישית,59.74,"1,000,000 ₪"
11,1960,02/12/2024,לאון בלום 8,10870-34-62,דירה בבית קומות,3,שלישית,59.74,"1,000,000 ₪"
11,1960,11/10/2024,לאון בלום 8,10870-34-6,דירה בבית קומות,3,ראשונה,50,"500,000 ₪"
11,1960,14/08/2024,לאון בלום 8,10870-34-6,דירה בבית קומות,3,ראשונה,50,"1,000,000 ₪"
11,1960,09/12/2021,לאון בלום 8,10870-34-6,דירה בבית קומות,3,ראשונה,50,"800,000 ₪"
11,1960,09/02/2017,לאון בלום 8,10870-34-6,דירה בבית קומות,3,ראשונה,50,"620,000 ₪"
11,1960,25/09/2024,בלום לאון 2,10870-23-55,דירה בבית קומות,4,רביעית,79.7,"1,325,000 ₪"
11,1960,27/03/2019,בלום לאון 2,10870-23-55,דירה בבית קומות,4,רביעית,79.7,"920,000 ₪"
19,1970,17/09/2024,לאון בלום 28,10870-40-140,דירה בבית קומות,4,תשיעית,86,"1,225,000 ₪"
19,1970,09/09/2024,לאון בלום 28,10870-40-309,דירה בבית קומות,4,אחת עשרה,91,"1,260,000 ₪"
19,1970,03/09/2024,לאון בלום 28,10870-40-291,דירה בבית קומות,3.5,חמישית,83,"1,360,000 ₪"
19,1970,22/02/2010,לאון בלום 28,10870-40-291,דירה בבית קומות,3.5,חמישית,83,"510,000 ₪"
19,1970,23/07/2024,לאון בלום 28,10870-40-115,דירה בבית קומות,2,ארבע עשרה,58,"1,040,000 ₪"
19,1970,19/07/2011,לאון בלום 28,10870-40-115,דירה בבית קומות,2,ארבע עשרה,58,"630,000 ₪"
19,1970,17/07/2024,לאון בלום 28,10870-40-102,דירה בבית קומות,4,עשירית,86,"1,390,000 ₪"
11,1960,03/07/2024,בלום לאון 2,10870-23-34,דירה בבית קומות,4,שניה,79.7,"1,045,000 ₪"
11,1960,30/06/2024,לאון בלום 8,10870-34-207,דירה בבית קומות,3,עשירית,61.16,"937,500 ₪"
18,1994,26/06/2024,חנה סנש 20,10870-80-8,דירה בבית קומות,4,רביעית,100.8,"1,750,000 ₪"
18,1994,01/11/2007,חנה סנש 20,10870-80-8,דירה בבית קומות,4,רביעית,100.8,"673,000 ₪"
11,1960,13/06/2024,בלום לאון 2,10870-23-92,דירה בבית קומות,2,שביעית,38.47,"840,000 ₪"
11,1960,10/06/2024,לאון בלום 8,10870-34-70,דירה בבית קומות,3,רביעית,65.18,"1,200,000 ₪"
11,1960,08/02/1998,לאון בלום 8,10870-34-70,דירה בבית קומות,3,רביעית,65.18,"457,000 ₪"
18,1994,06/06/2024,חנה סנש 20,10870-80-144,דירה בבית קומות,5,שביעית,105,"1,730,000 ₪"
3,1960,06/06/2024,וינגייט 35,12529-8-2,דירה בבית קומות,4,ראשונה,97.96,"1,450,000 ₪"
19,1970,04/06/2024,לאון בלום 28,10870-40-324,דירה בבית קומות,4,ראשונה,98,"1,360,000 ₪"
11,1960,08/05/2024,לאון בלום 8,10870-34-43,דירה בבית קומות,3,שניה,59.74,"1,050,000 ₪"
11,1960,18/06/2021,לאון בלום 8,10870-34-43,דירה בבית קומות,3,שניה,59.74,"770,000 ₪"
19,1970,07/05/2024,לאון בלום 28,10870-40-127,דירה בבית קומות,2,שמונה עשרה,58,"835,000 ₪"
19,1970,21/04/2024,לאון בלום 28,10870-40-305,דירה בבית קומות,4,עשירית,86,"1,535,000 ₪"
19,1970,10/06/2019,לאון בלום 28,10870-40-305,דירה בבית קומות,4,עשירית,86,"1,070,000 ₪"
19,1970,19/04/2024,לאון בלום 28,10870-40-299,דירה בבית קומות,4,שמינית,86,"1,520,000 ₪"
19,1970,19/03/2020,לאון בלום 28,10870-40-299,דירה בבית קומות,4,שמינית,86,"960,000 ₪"
19,1970,14/04/2024,לאון בלום 28,10870-40-264,דירה בבית קומות,2,שמונה עשרה,58,"980,000 ₪"
11,1960,20/03/2024,בלום לאון 2,10870-23-102,דירה בבית קומות,3.5,שמינית,79.7,"1,330,000 ₪"
11,1960,11/12/2012,בלום לאון 2,10870-23-102,דירה בבית קומות,3.5,שמינית,79.7,"935,000 ₪"
11,1960,26/07/2010,בלום לאון 2,10870-23-102,דירה בבית קומות,3.5,שמינית,79.7,"725,000 ₪"
19,1970,22/02/2024,לאון בלום 28,10870-40-334,דירה בבית קומות,4,רביעית,100,"1,340,000 ₪"
19,1970,20/05/2007,לאון בלום 28,10870-40-334,דירה בבית קומות,4,רביעית,100,"511,000 ₪"
11,1960,31/01/2024,לאון בלום 8,10870-34-34,דירה בבית קומות,3,שניה,61.16,"1,140,000 ₪"
2,1960,21/01/2024,וינגייט 37,12529-7-4,דירה בבית קומות,3,שניה,74,"1,410,000 ₪"
18,1994,04/01/2024,חנה סנש 20,10870-80-142,דירה בבית קומות,4,עשירית,105,"1,650,000 ₪"
11,1960,02/01/2024,לאון בלום 8,10870-34-7,דירה בבית קומות,3,ראשונה,48.9,"880,000 ₪"
2,1950,07/12/2023,חנה סנש 8,12529-1-1,דירה בבית קומות,2,קרקע,48.5,"900,000 ₪"
