קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
2,1960,22/04/2025,הנשיא 4,11718-2-8,דירה בבית קומות,5,חמישית,130,"3,850,000 ₪"
0,0,17/04/2025,ללא כתובת,11686-22-2,דירה בבית קומות,4,שישית,112,"5,306,000 ₪"
2,1950,10/04/2025,יפה נוף 26,11686-3-6,דירה בבית קומות,4,ראשונה,61.6,"1,600,000 ₪"
2,1950,17/11/2021,יפה נוף 26,11686-3-6,דירה בבית קומות,4,ראשונה,61.6,"1,555,000 ₪"
2,1950,03/04/2014,יפה נוף 26,11686-3-6,דירה בבית קומות,4,ראשונה,61.6,"1,360,000 ₪"
2,1950,05/02/2009,יפה נוף 26,11686-3-6,דירה בבית קומות,4,ראשונה,61.6,"535,000 ₪"
3,1960,03/04/2025,התשבי 22,11719-12-16,דירה בבית קומות,4,שניה,79,"1,560,000 ₪"
0,0,13/03/2025,ללא כתובת,11686-22-3,דירה בבית קומות,4,שישית,97,"4,586,000 ₪"
7,1960,10/03/2025,עובדיה 24,11114-2-7,דירה בבית קומות,5,שישית,128,"4,150,000 ₪"
4,1965,10/03/2025,שונמית 7,11114-11-4,דירה בבית קומות,3,שניה,67.6,"1,950,000 ₪"
4,1965,16/04/2010,שונמית 7,11114-11-4,דירה בבית קומות,3,שניה,67.6,"816,000 ₪"
0,0,09/03/2025,ללא כתובת,10812-7-2,דירה בבית קומות,5,ראשונה,84.5,"4,300,000 ₪"
0,0,09/02/2012,ללא כתובת,10812-7-2,דירה בבית קומות,5,ראשונה,84.5,"1,253,000 ₪"
0,0,04/01/2001,ללא כתובת,10812-7-2,דירה בבית קומות,5,ראשונה,84.5,"569,000 ₪"
3,2003,23/02/2025,התשבי 4,11113-12-8,דירה בבית קומות,4,שלישית,95,"2,350,000 ₪"
2,1960,18/02/2025,התשבי 77,11687-5-9,דירה בבית קומות,3,שניה,71,"1,675,000 ₪"
0,0,13/02/2025,ללא כתובת,10812-7-6,דירה בבית קומות,5,ראשונה,128,"4,034,000 ₪"
4,2023,10/02/2025,עין גדי 1,11691-14-5,דירה בבית קומות,4,קרקע,66,"2,700,000 ₪"
4,2023,31/01/2002,עין גדי 1,11691-14-5,דירה בבית קומות,4,קרקע,66,"793,000 ₪"
0,2021,06/02/2025,עובדיה 5,12598-11-5,דירה בבית קומות,6,ראשונה,113,"2,910,000 ₪"
3,2003,04/02/2025,התשבי 4,11113-12-1,דירה בבית קומות,4,ראשונה,82.4,"3,050,000 ₪"
4,1961,02/02/2025,שונמית 5,11114-11-16,דירה בבית קומות,5,חמישית,135,"2,650,000 ₪"
1,1950,29/01/2025,התשבי 69,11686-29-3,דירה בבית קומות,3,קרקע,70,"2,150,000 ₪"
1,1950,03/03/2022,התשבי 69,11686-29-3,דירה בבית קומות,3,קרקע,70,"2,020,000 ₪"
1,1950,31/07/2014,התשבי 69,11686-29-3,דירה בבית קומות,3,קרקע,70,"1,900,000 ₪"
1,1950,22/04/2008,התשבי 69,11686-29-3,דירה בבית קומות,3,קרקע,70,"600,000 ₪"
2,1960,28/01/2025,סוכות 10,11688-19-5,דירה בבית קומות,3,ראשונה,60,"1,670,000 ₪"
2,1960,20/05/2005,סוכות 10,11688-19-5,דירה בבית קומות,3,ראשונה,60,"719,000 ₪"
0,0,21/01/2025,ללא כתובת,10812-34-1,מחסנים,לא ידוע,קרקע,83.3,"118,000 ₪"
3,1960,16/01/2025,חורשה 12,11689-13-3,דירה בבית קומות,5,שניה,96.76,"1,650,000 ₪"
0,0,14/01/2025,ללא כתובת,11686-22-4,דירה בבית קומות,4,שביעית,126,"5,500,000 ₪"
2,1960,12/01/2025,הנשיא 4,11718-2-9,דירה בבית קומות,5,ראשונה,120,"3,883,000 ₪"
0,0,07/01/2025,ללא כתובת,11686-22-6,דירה בבית קומות,4,חמישית,112,"5,100,000 ₪"
3,1962,26/12/2024,הנשיא 60,11687-15-9,דירה בבית קומות,5,קרקע,לא ידוע,"2,980,000 ₪"
4,1960,20/12/2024,יפה נוף 8,11685-5-9,דירה בבית קומות,4,שלישית,83.87,"2,500,000 ₪"
3,1960,12/12/2024,בית אל 21,11719-18-10,דירה בבית קומות,5,שניה,126,"2,700,000 ₪"
9,1970,08/12/2024,הנשיא 8,11718-5-31,דירה בבית קומות,2,שניה,55.9,"1,150,000 ₪"
