קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
2,1999,07/04/2025,בת חן 25,11193-325-12,דירה בבית קומות,5,שניה שלישית,126.95,"2,380,000 ₪"
2,1999,05/03/1999,בת חן 25,11193-325-12,דירה בבית קומות,5,שניה שלישית,126.95,"1,092,000 ₪"
4,2005,02/03/2025,חוחית 6,11193-317-6,דירה בבית קומות,4,קרקע שלישית ורביעית,117.18,"2,725,000 ₪"
4,2005,08/03/2006,חוחית 6,11193-317-6,דירה בבית קומות,4,קרקע שלישית ורביעית,117.18,"1,380,000 ₪"
2,1999,13/02/2025,בת חן 54,11193-287-8,דירה בבית קומות,5,ראשונה,120,"2,900,000 ₪"
7,2022,09/02/2025,צופית 14,11193-258-51,דירה בבית קומות,3,קומה 2,71.8,"249,000 ₪"
3,2002,02/02/2025,דוכיפת 14,11193-297-8,דירה בבית קומות,3,שניה,101.61,"800,000 ₪"
3,2002,18/03/2020,דוכיפת 14,11193-297-8,דירה בבית קומות,3,שניה,101.61,"1,414,000 ₪"
3,2002,22/05/2017,דוכיפת 14,11193-297-8,דירה בבית קומות,3,שניה,101.61,"1,370,000 ₪"
3,2000,15/01/2025,בת חן 46,11193-283-5,דירה בבית קומות,3,שלישית,78.46,"1,600,000 ₪"
3,2000,03/06/2012,בת חן 46,11193-283-5,דירה בבית קומות,3,שלישית,78.46,"1,270,000 ₪"
4,2000,07/01/2025,צופית 2,11193-310-4,דירה בבית קומות,3.5,שניה,76.22,"1,550,000 ₪"
3,2000,26/12/2024,בת חן 23,11193-323-3,דירה בבית קומות,3,ראשונה,63.21,"1,380,000 ₪"
3,2000,18/04/2002,בת חן 23,11193-323-3,דירה בבית קומות,3,ראשונה,63.21,"838,000 ₪"
3,2005,05/12/2024,חוחית 1,11193-331-6,דירה בבית קומות,3,שניה,76,"1,545,000 ₪"
2,1999,02/12/2024,בת חן 54,11193-287-7,דירה בבית קומות,4,ראשונה,79,"2,270,000 ₪"
3,2000,18/11/2024,בת חן 4,11193-300-4,דירה בבית קומות,4,שניה,86,"1,950,000 ₪"
4,1997,01/11/2024,בת חן 6,11193-302-7,דירה בבית קומות,5,רביעית וחמישית,122.38,"1,900,000 ₪"
3,2001,23/08/2024,בת חן 42,11193-281-3,דירה בבית קומות,4.5,שניה,92.53,"2,475,000 ₪"
3,2000,16/08/2024,דוכיפת 12,11193-296-3,דירה בבית קומות,4,ראשונה,95.04,"2,095,000 ₪"
3,2000,08/12/2011,דוכיפת 12,11193-296-3,דירה בבית קומות,4,ראשונה,95.04,"1,500,000 ₪"
3,2000,12/12/2007,דוכיפת 12,11193-296-3,דירה בבית קומות,4,ראשונה,95.04,"933,000 ₪"
4,2000,08/07/2024,צופית 2,11193-310-8,דירה בבית קומות,4,רביעית וחמישית,118.81,"1,700,000 ₪"
4,2000,17/11/2019,צופית 2,11193-310-8,דירה בבית קומות,4,רביעית וחמישית,118.81,"1,500,000 ₪"
4,2000,16/12/2009,צופית 2,11193-310-8,דירה בבית קומות,4,רביעית וחמישית,118.81,"1,350,000 ₪"
4,1999,10/04/2024,בת חן 44,11193-282-7,דירה בבית קומות,5,רביעית חמישית,144.26,"2,100,000 ₪"
4,1999,03/11/1999,בת חן 44,11193-282-7,דירה בבית קומות,5,רביעית חמישית,144.26,"1,249,000 ₪"
4,2008,25/02/2024,דוכיפת 10,11193-295-10,דירה בבית קומות,5,רביעית וחמישית,130.1,"2,900,000 ₪"
2,2000,22/02/2024,בת חן 22,11193-269-1,דירה בבית קומות,5,קרקע+ראשונה,126.38,"2,680,000 ₪"
2,2000,18/01/2001,בת חן 22,11193-269-1,דירה בבית קומות,5,קרקע+ראשונה,126.38,"1,196,000 ₪"
1,2000,19/02/2024,בת חן 14,11193-309-9,דירה בבית קומות,5,שלישית רביעית*,101.2,"2,100,000 ₪"
3,2002,03/01/2024,דוכיפת 14,11193-297-9,דירה בבית קומות,4,שלישית ורביעית,111,"2,230,000 ₪"
6,2008,02/01/2024,בת חן 64,11193-342-8,דירה בבית קומות,5,"קומה 3, קומה 4",118.39,"1,900,000 ₪"
6,2008,31/07/2008,בת חן 64,11193-342-8,דירה בבית קומות,5,"קומה 3, קומה 4",118.39,"1,000,000 ₪"
