קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
8,1980,27/04/2025,גוטל לוין 20,11193-204-29,דירה בבית קומות,4,שמינית,79,"1,420,000 ₪"
8,1980,14/08/2012,גוטל לוין 20,11193-204-29,דירה בבית קומות,4,שמינית,79,"945,000 ₪"
8,1980,22/12/2005,גוטל לוין 20,11193-204-29,דירה בבית קומות,4,שמינית,79,"660,000 ₪"
6,1990,14/03/2025,קדיש לוז 15,11193-235-13,דירה בבית קומות,4,שניה,85,"1,520,000 ₪"
5,1980,11/03/2025,גוטל לוין 6,11193-211-10,דירה בבית קומות,4,שלישית,87,"1,550,000 ₪"
5,1980,21/01/2018,גוטל לוין 6,11193-211-10,דירה בבית קומות,4,שלישית,87,"1,425,000 ₪"
5,1980,25/12/2014,גוטל לוין 6,11193-211-10,דירה בבית קומות,4,שלישית,87,"1,350,000 ₪"
5,1980,25/03/2007,גוטל לוין 6,11193-211-10,דירה בבית קומות,4,שלישית,87,"611,000 ₪"
7,1980,26/02/2025,גוטל לוין 44,11193-248-16,דירה בבית קומות,4,רביעית,70.3,"1,345,000 ₪"
7,1980,21/05/2008,גוטל לוין 44,11193-248-16,דירה בבית קומות,4,רביעית,70.3,"445,000 ₪"
7,1980,19/07/1998,גוטל לוין 44,11193-248-16,דירה בבית קומות,4,רביעית,70.3,"554,000 ₪"
4,1990,30/01/2025,גוטל לוין 17,11193-233-8,דירה בבית קומות,4,רביעית,82.1,"1,550,000 ₪"
4,1990,02/02/2007,גוטל לוין 17,11193-233-8,דירה בבית קומות,4,רביעית,82.1,"609,000 ₪"
7,1980,05/01/2025,גוטל לוין 42,11193-249-40,דירה בבית קומות,3,שלישית,58.8,"1,370,000 ₪"
7,1980,04/07/2023,גוטל לוין 42,11193-249-40,דירה בבית קומות,3,שלישית,58.8,"1,180,000 ₪"
7,1980,31/10/2012,גוטל לוין 42,11193-249-40,דירה בבית קומות,3,שלישית,58.8,"385,000 ₪"
7,1980,29/12/1998,גוטל לוין 42,11193-249-40,דירה בבית קומות,3,שלישית,58.8,"510,000 ₪"
15,2000,30/12/2024,גוטל לוין 5,11193-231-27,דירה בבית קומות,3,שישית,83.2,"1,420,000 ₪"
15,2000,13/03/2005,גוטל לוין 5,11193-231-27,דירה בבית קומות,3,שישית,83.2,"816,000 ₪"
15,2000,24/08/1999,גוטל לוין 5,11193-231-27,דירה בבית קומות,3,שישית,83.2,"755,000 ₪"
6,1980,15/12/2024,לוין גוטל 36,11193-250-25,דירה בבית קומות,3,שישית,64.4,"1,120,000 ₪"
6,1980,28/06/2017,לוין גוטל 36,11193-250-25,דירה בבית קומות,3,שישית,64.4,"985,000 ₪"
14,2000,27/11/2024,גוטל לוין 5,11193-231-1,דירה בבית קומות,3,ראשונה,56,"1,140,000 ₪"
14,2000,31/05/2005,גוטל לוין 5,11193-231-1,דירה בבית קומות,3,ראשונה,56,"767,000 ₪"
4,1970,27/11/2024,גוטל לוין 23,11193-236-7,דירה בבית קומות,4,רביעית,83.8,"1,865,000 ₪"
4,1970,10/06/2019,גוטל לוין 23,11193-236-7,דירה בבית קומות,4,רביעית,83.8,"1,480,000 ₪"
14,2000,22/11/2024,גוטל לוין 11,11193-231-88,דירה בבית קומות,5,תשיעית,103.3,"1,959,500 ₪"
7,1980,06/11/2024,גוטל לוין 44,11193-248-51,דירה בבית קומות,3.5,שישית,70.3,"1,622,000 ₪"
7,1980,18/09/2014,גוטל לוין 44,11193-248-51,דירה בבית קומות,3.5,שישית,70.3,"900,000 ₪"
7,1980,09/04/2003,גוטל לוין 44,11193-248-51,דירה בבית קומות,3.5,שישית,70.3,"627,000 ₪"
12,1995,05/11/2024,גוטל לוין 26,11193-222-108,דירה בבית קומות,4.5,שישית,99.5,"1,800,000 ₪"
6,1990,29/10/2024,קדיש לוז 13,11193-236-10,דירה בבית קומות,4,ראשונה,85,"1,618,000 ₪"
8,1980,09/10/2024,גוטל לוין 10,11193-209-30,דירה בבית קומות,4,שמינית,79,"1,280,000 ₪"
8,1980,04/10/2021,גוטל לוין 10,11193-209-30,דירה בבית קומות,4,שמינית,79,"1,200,000 ₪"
8,1980,17/05/2018,גוטל לוין 10,11193-209-30,דירה בבית קומות,4,שמינית,79,"1,150,000 ₪"
8,1980,04/03/2014,גוטל לוין 10,11193-209-30,דירה בבית קומות,4,שמינית,79,"374,000 ₪"
7,1980,28/08/2024,גוטל לוין 44,11193-248-20,דירה בבית קומות,4,חמישית,70.3,"1,470,000 ₪"
7,1980,27/01/2016,גוטל לוין 44,11193-248-20,דירה בבית קומות,4,חמישית,70.3,"1,000,000 ₪"
8,1980,11/08/2024,גוטל לוין 18,11193-205-5,דירה בבית קומות,4,שניה,95.42,"1,890,000 ₪"
7,1980,18/07/2024,לוין גוטל 32,11193-227-6,דירה בבית קומות,4,ראשונה,84.1,"1,600,000 ₪"
7,1980,08/03/2009,לוין גוטל 32,11193-227-6,דירה בבית קומות,4,ראשונה,84.1,"520,000 ₪"
6,1987,07/07/2024,קדיש לוז 7,11193-240-10,דירה בבית קומות,4,שלישית,77.3,"1,630,000 ₪"
6,1987,16/05/2022,קדיש לוז 7,11193-240-10,דירה בבית קומות,4,שלישית,77.3,"1,270,000 ₪"
15,2000,24/06/2024,גוטל לוין 5,11193-231-40,דירה בבית קומות,3,שמינית,87.1,"1,550,000 ₪"
15,2000,10/04/2006,גוטל לוין 5,11193-231-40,דירה בבית קומות,3,שמינית,87.1,"780,000 ₪"
15,2000,12/10/1999,גוטל לוין 5,11193-231-40,דירה בבית קומות,3,שמינית,87.1,"795,000 ₪"
11,1995,21/06/2024,גוטל לוין 28,11193-222-60,דירה בבית קומות,4.5,חמישית,99.5,"1,650,000 ₪"
7,1980,17/06/2024,גוטל לוין 40,11193-249-56,דירה בבית קומות,4,שביעית,72.1,"1,365,000 ₪"
8,1980,28/05/2024,גוטל לוין 12,11193-208-5,דירה בבית קומות,4,שניה,79,"1,640,000 ₪"
8,1980,06/04/2021,גוטל לוין 12,11193-208-5,דירה בבית קומות,4,שניה,79,"1,355,000 ₪"
8,1980,15/05/2024,גוטל לוין 18,11193-205-17,דירה בבית קומות,5,חמישית,94.47,"1,800,000 ₪"
