קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
10,1980,19/03/2025,קאודרס 13,10804-53-19,דירה בבית קומות,3,רביעית,82.55,"735,000 ₪"
3,1960,06/03/2025,כל ישראל חברים 27,10803-18-44,דירה בבית קומות,3,ראשונה,45,"1,500,000 ₪"
17,2006,19/02/2025,אדמונד פלג 29,10804-76-205,דירה בבית קומות,5,קומה 2,130.36,"3,680,000 ₪"
4,1960,15/01/2025,אדמונד פלג 52,10804-6-25,דירה בבית קומות,3,שלישית,66.33,"1,500,000 ₪"
2,1950,06/01/2025,כל ישראל חברים 7,10803-12-9,דירה בבית קומות,3,ראשונה,56,"1,620,000 ₪"
2,1950,20/01/2021,כל ישראל חברים 7,10803-12-9,דירה בבית קומות,3,ראשונה,56,"1,350,000 ₪"
2,1950,12/07/2016,כל ישראל חברים 7,10803-12-9,דירה בבית קומות,3,ראשונה,56,"1,330,000 ₪"
2,1950,30/07/1999,כל ישראל חברים 7,10803-12-9,דירה בבית קומות,3,ראשונה,56,"507,000 ₪"
5,1970,03/01/2025,טשרניחובסקי 57,10804-87-7,דירה בבית קומות,4,שלישית,67.1,"1,440,000 ₪"
5,1970,29/10/2019,טשרניחובסקי 57,10804-87-7,דירה בבית קומות,4,שלישית,67.1,"940,000 ₪"
3,1960,31/12/2024,כל ישראל חברים 27,10803-18-31,דירה בבית קומות,3,שניה,50,"1,995,000 ₪"
3,1960,30/01/2011,כל ישראל חברים 27,10803-18-31,דירה בבית קומות,3,שניה,50,"1,100,000 ₪"
3,1960,26/08/2003,כל ישראל חברים 27,10803-18-31,דירה בבית קומות,3,שניה,50,"533,000 ₪"
2,1989,24/11/2024,אביגדור המאירי 3,10802-110-7,דירה בבית קומות,5,קרקע,111.64,"2,750,000 ₪"
10,1980,20/11/2024,קאודרס 13,10804-53-32,דירה בבית קומות,5,שמינית,108.3,"1,939,300 ₪"
10,1980,14/11/2024,קאודרס 15,10804-105-28,דירה בבית קומות,4,שביעית,102.9,"2,300,000 ₪"
4,1960,08/11/2024,אדמונד פלג 28,10804-3-13,דירה בבית קומות,3,שלישית,54.89,"1,300,000 ₪"
16,1995,06/11/2024,יצחק נדב 5,10802-185-29,דירה בבית קומות,4,שביעית,93.1,"1,350,000 ₪"
2,1990,04/11/2024,המאירי אביגדור 2,10802-175-6,דירה בבית קומות,5,שניה,111.4,"2,670,000 ₪"
16,1980,14/10/2024,קאודרס 3,10804-74-85,דירה בבית קומות,4,ראשונה,101.72,"1,625,000 ₪"
16,1980,02/02/2011,קאודרס 3,10804-74-85,דירה בבית קומות,4,ראשונה,101.72,"1,000,000 ₪"
4,1970,08/10/2024,אמיל זולא 38,10804-34-1,דירה בבית קומות,4,ראשונה,76.57,"1,915,000 ₪"
7,1970,29/09/2024,סטפן וייז 1,10804-38-53,דירה בבית קומות,4,חמישית,97.01,"1,850,000 ₪"
7,1970,25/08/2014,סטפן וייז 1,10804-38-53,דירה בבית קומות,4,חמישית,97.01,"1,065,000 ₪"
4,1970,19/09/2024,אמיל זולא 38,10804-34-14,דירה בבית קומות,5,"שלישית , רביעית",136.64,"2,625,000 ₪"
0,1990,10/09/2024,טשרניחובסקי 35,10804-77-1,חנות,לא ידוע,לא ידוע,300,"2,484,000 ₪"
7,1970,28/08/2024,טשרניחובסקי 65,10804-89-45,דירה בבית קומות,3,שביעית,60.5,"1,350,000 ₪"
16,1980,28/08/2024,קאודרס 3,10804-74-119,דירה בבית קומות,4,שמינית,94.12,"2,025,000 ₪"
17,2006,07/08/2024,טשרניחובסקי 43,10804-76-91,דירה בבית קומות,3,קומה 10,84.4,"1,900,000 ₪"
10,1980,10/07/2024,קאודרס 15,10804-105-20,דירה בבית קומות,4,חמישית,102.9,"1,767,600 ₪"
6,1960,05/07/2024,אדמונד פלג 10,10804-97-12,דירה בבית קומות,4,ראשונה ושניה,99.1,"1,300,000 ₪"
3,1960,26/06/2024,כל ישראל חברים 27,10803-18-26,דירה בבית קומות,3,ראשונה,45,"1,650,000 ₪"
2,1950,23/06/2024,כל ישראל חברים 45,10803-21-12,דירה בבית קומות,1,ראשונה,23.65,"540,000 ₪"
2,1950,16/06/2024,כל ישראל חברים 45,10803-21-33,דירה בבית קומות,1,שניה,23.24,"470,000 ₪"
2,1950,06/06/2024,אמיל זולא 36,10803-22-30,דירה בבית קומות,3,ראשונה,56,"1,240,000 ₪"
2,1950,25/10/2018,אמיל זולא 36,10803-22-30,דירה בבית קומות,3,ראשונה,56,"890,000 ₪"
7,1970,02/06/2024,סטפן וייז 1,10804-38-50,דירה בבית קומות,4,רביעית,86.92,"1,250,000 ₪"
4,1960,23/05/2024,אדמונד פלג 58,10804-6-27,דירה בבית קומות,4,רביעית,66.33,"1,425,000 ₪"
4,1960,31/03/2021,אדמונד פלג 58,10804-6-27,דירה בבית קומות,4,רביעית,66.33,"1,220,000 ₪"
4,1960,09/09/2015,אדמונד פלג 58,10804-6-27,דירה בבית קומות,4,רביעית,66.33,"1,000,000 ₪"
4,1960,16/03/2006,אדמונד פלג 58,10804-6-27,דירה בבית קומות,4,רביעית,66.33,"492,000 ₪"
4,1980,22/05/2024,בית לחם 99,10804-35-14,דירה בבית קומות,4,שלישית,116.97,"2,525,000 ₪"
2,1950,20/05/2024,כל ישראל חברים 45,10803-21-30,דירה בבית קומות,1,שניה,23.65,"540,000 ₪"
7,1970,15/05/2024,טשרניחובסקי 61,10804-88-15,דירה בבית קומות,4,שישית,73.97,"1,350,000 ₪"
7,1970,07/08/2009,טשרניחובסקי 61,10804-88-15,דירה בבית קומות,4,שישית,73.97,"530,000 ₪"
7,1970,14/02/2000,טשרניחובסקי 61,10804-88-15,דירה בבית קומות,4,שישית,73.97,"526,000 ₪"
10,1980,10/05/2024,קאודרס 13,10804-53-31,דירה בבית קומות,4,שביעית,79.78,"1,700,000 ₪"
2,1960,14/04/2024,אמיל זולא 8,10803-24-2,דירה בבית קומות,2,קרקע,50,"160,000 ₪"
3,1960,11/04/2024,כל ישראל חברים 27,10803-18-47,דירה בבית קומות,3,ראשונה,50,"1,860,000 ₪"
3,1960,26/09/2019,כל ישראל חברים 27,10803-18-47,דירה בבית קומות,3,ראשונה,50,"1,550,000 ₪"
3,1960,19/02/2015,כל ישראל חברים 27,10803-18-47,דירה בבית קומות,3,ראשונה,50,"839,000 ₪"
2,1950,07/04/2024,כל ישראל חברים 45,10803-21-32,דירה בבית קומות,1,שניה,21.9,"520,000 ₪"
3,1982,02/04/2024,קאודרס 1,10804-74-5,דירה בבית קומות,4,שניה,101.09,"1,980,000 ₪"
16,1980,28/03/2024,קאודרס 3,10804-74-9,דירה בבית קומות,4,שניה,101.79,"302,000 ₪"
4,1960,26/03/2024,אדמונד פלג 36,10804-4-37,דירה בבית קומות,3.5,שלישית,66.33,"1,500,000 ₪"
4,1960,05/04/2016,אדמונד פלג 36,10804-4-37,דירה בבית קומות,3.5,שלישית,66.33,"1,100,000 ₪"
4,1960,01/05/2009,אדמונד פלג 36,10804-4-37,דירה בבית קומות,3.5,שלישית,66.33,"610,000 ₪"
4,1960,09/03/2006,אדמונד פלג 36,10804-4-37,דירה בבית קומות,3.5,שלישית,66.33,"563,000 ₪"
