קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
4,1970,25/04/2025,סעדיה פז 31,10744-49-13,דירה בבית קומות,4,שניה,81.3,"1,580,000 ₪"
4,1970,17/02/2019,סעדיה פז 31,10744-49-13,דירה בבית קומות,4,שניה,81.3,"870,000 ₪"
9,1989,30/03/2025,החיננית 6,10744-58-19,לא ידוע,3,חמישית,62.3,"1,280,000 ₪"
4,1970,27/03/2025,"אצ""ל 17",10749-54-19,דירה בבית קומות,3,ראשונה,60.9,"1,350,000 ₪"
4,1970,06/02/2018,"אצ""ל 17",10749-54-19,דירה בבית קומות,3,ראשונה,60.9,"820,000 ₪"
4,1970,24/01/2013,"אצ""ל 17",10749-54-19,דירה בבית קומות,3,ראשונה,60.9,"595,000 ₪"
4,1960,18/03/2025,הלבנה 11,10749-92-61,דירה בבית קומות,2,שניה,45.4,"1,375,000 ₪"
4,1960,24/06/2020,הלבנה 11,10749-92-61,דירה בבית קומות,2,שניה,45.4,"760,000 ₪"
4,1960,08/06/2010,הלבנה 11,10749-92-61,דירה בבית קומות,2,שניה,45.4,"295,000 ₪"
8,1970,10/03/2025,הרב רפאל אנקואה 22,10744-52-36,דירה בבית קומות,3,שניה,62.3,"1,315,000 ₪"
15,1998,02/03/2025,שמואל שלוסברג 1,10744-58-162,דירה בבית קומות,4,תשיעית,88.8,"1,640,000 ₪"
15,1998,13/11/2014,שמואל שלוסברג 1,10744-58-162,דירה בבית קומות,4,תשיעית,88.8,"1,200,000 ₪"
4,1970,25/02/2025,הרותם 15,10744-46-47,דירה בבית קומות,3,רביעית,60.9,"1,570,000 ₪"
8,1970,16/02/2025,הרב רפאל אנקואה 22,10744-52-14,דירה בבית קומות,3,רביעית,65.6,"1,500,000 ₪"
8,1970,31/12/2014,הרב רפאל אנקואה 22,10744-52-14,דירה בבית קומות,3,רביעית,65.6,"670,000 ₪"
4,1960,16/02/2025,הלבנה 11,10749-92-44,דירה בבית קומות,4,שניה,84.7,"1,660,000 ₪"
4,1960,27/05/2009,הלבנה 11,10749-92-44,דירה בבית קומות,4,שניה,84.7,"505,000 ₪"
4,1970,13/02/2025,"אצ""ל 17",10749-54-11,דירה בבית קומות,3,שלישית,60.9,"1,250,000 ₪"
4,1970,09/02/2025,הרותם 43,10749-92-14,דירה בבית קומות,4,שלישית,83.1,"1,630,000 ₪"
9,1989,30/01/2025,החיננית 6,10744-58-11,דירה בבית קומות,3,שלישית,62.3,"1,550,000 ₪"
8,1970,28/01/2025,הרב רפאל אנקואה 22,10744-52-47,דירה בבית קומות,4,חמישית,80.3,"1,680,000 ₪"
8,1970,09/10/2003,הרב רפאל אנקואה 22,10744-52-47,דירה בבית קומות,4,חמישית,80.3,"547,000 ₪"
8,1980,15/01/2025,הרב אנקואה רפאל 24,10744-50-8,דירה בבית קומות,3,שלישית,57.7,"1,380,000 ₪"
8,1980,21/04/2004,הרב אנקואה רפאל 24,10744-50-8,דירה בבית קומות,3,שלישית,57.7,"355,000 ₪"
14,1970,08/01/2025,סעדיה פז 40,10749-58-42,דירה בבית קומות,4,אחת עשרה,74.2,"1,530,000 ₪"
14,1970,28/06/2022,סעדיה פז 40,10749-58-42,דירה בבית קומות,4,אחת עשרה,74.2,"1,160,000 ₪"
4,1970,24/12/2024,הרותם 7,10744-54-58,דירה בבית קומות,3,ראשונה,56.7,"325,000 ₪"
9,1989,16/12/2024,החיננית 6,10744-58-15,דירה בבית קומות,3,רביעית,62.3,"1,240,000 ₪"
4,1970,10/12/2024,סעדיה פז 11,10744-104-19,דירה בבית קומות,2,ראשונה,44.4,"1,520,000 ₪"
4,1970,17/11/2020,סעדיה פז 11,10744-104-19,דירה בבית קומות,2,ראשונה,44.4,"900,000 ₪"
4,1970,26/06/2016,סעדיה פז 11,10744-104-19,דירה בבית קומות,2,ראשונה,44.4,"720,000 ₪"
4,1970,27/08/2013,סעדיה פז 11,10744-104-19,דירה בבית קומות,2,ראשונה,44.4,"435,000 ₪"
14,1970,03/12/2024,סעדיה פז 40,10749-58-17,דירה בבית קומות,4,חמישית,77.3,"1,300,000 ₪"
4,1970,02/12/2024,הרותם 19,10744-46-5,דירה בבית קומות,3,שניה,62.5,"1,635,000 ₪"
14,1980,05/11/2024,הרותם 5,10744-55-33,דירה בבית קומות,4,תשיעית,78.5,"1,525,000 ₪"
4,1970,20/10/2024,פז סעדיה 20,10744-47-18,דירה בבית קומות,4,ראשונה,80.3,"1,484,800 ₪"
4,1970,13/10/2024,הרותם 25,10744-99-44,דירה בבית קומות,3,שניה,56.7,"1,100,000 ₪"
14,1970,01/10/2024,"אצ""ל 13",10749-56-36,דירה בבית קומות,4,תשיעית,74.2,"1,500,000 ₪"
4,1970,25/09/2024,סעדיה פז 24,10744-43-71,דירה בבית קומות,4,רביעית,80.3,"1,450,000 ₪"
14,1970,23/09/2024,הרותם 3,10744-57-20,דירה בבית קומות,4,חמישית,78.5,"1,460,000 ₪"
4,1970,22/09/2024,הרותם 7,10744-54-61,דירה בבית קומות,2,שניה,44.4,"1,230,000 ₪"
4,1970,11/09/2024,פז סעדיה 19,10744-53-20,דירה בבית קומות,4,שניה,73.5,"1,600,000 ₪"
4,1970,26/10/2009,פז סעדיה 19,10744-53-20,דירה בבית קומות,4,שניה,73.5,"465,000 ₪"
9,1990,11/09/2024,החיננית 2,10744-58-97,דירה בבית קומות,3,חמישית,62.3,"1,275,000 ₪"
14,1970,01/09/2024,הרותם 3,10744-57-3,דירה בבית קומות,4,ראשונה,79.7,"900,000 ₪"
14,1970,19/08/2024,הרותם 3,10744-57-33,דירה בבית קומות,4,תשיעית,78.5,"1,550,000 ₪"
14,1970,08/01/2007,הרותם 3,10744-57-33,דירה בבית קומות,4,תשיעית,78.5,"507,000 ₪"
14,1970,27/12/2004,הרותם 3,10744-57-33,דירה בבית קומות,4,תשיעית,78.5,"546,000 ₪"
8,1970,18/08/2024,סעדיה פז 32,10744-43-14,דירה בבית קומות,3,רביעית,64.5,"800,000 ₪"
