קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
9,1999,16/05/2025,יד לבנים 92,11720-64-82,דירה בבית קומות,4,שש עשרה,90,"1,215,000 ₪"
5,1970,08/04/2025,פאר 53,11720-15-17,דירה בבית קומות,2,ראשונה,47.75,"840,000 ₪"
4,1970,08/04/2025,הירדן 31,12485-8-6,דירה בבית קומות,3,ראשונה,59.5,"1,040,000 ₪"
4,1970,01/02/2021,הירדן 31,12485-8-6,דירה בבית קומות,3,ראשונה,59.5,"500,000 ₪"
3,1960,23/03/2025,יד לבנים 128,11720-58-1,דירה בבית קומות,3,קרקע,60,"990,000 ₪"
6,1970,17/03/2025,פאר 49,11720-11-17,דירה בבית קומות,2,ראשונה,47.75,"865,000 ₪"
6,1970,23/03/2022,פאר 49,11720-11-17,דירה בבית קומות,2,ראשונה,47.75,"690,000 ₪"
6,1970,01/10/2009,פאר 49,11720-11-17,דירה בבית קומות,2,ראשונה,47.75,"225,000 ₪"
6,1970,04/04/2000,פאר 49,11720-11-17,דירה בבית קומות,2,ראשונה,47.75,"282,000 ₪"
3,1960,26/02/2025,הירדן 50,12484-12-2,דירה בבית קומות,2,ראשונה,57,"850,000 ₪"
3,1960,03/03/2022,הירדן 50,12484-12-2,דירה בבית קומות,2,ראשונה,57,"700,000 ₪"
3,1960,13/01/2015,הירדן 50,12484-12-2,דירה בבית קומות,2,ראשונה,57,"446,000 ₪"
3,1960,20/02/2025,פאר 77,11720-51-6,דירה בבית קומות,3,שניה,76,"1,210,000 ₪"
3,1960,18/05/2016,פאר 77,11720-51-6,דירה בבית קומות,3,שניה,76,"785,000 ₪"
3,1960,27/04/2015,פאר 77,11720-51-6,דירה בבית קומות,3,שניה,76,"575,000 ₪"
2,1980,13/02/2025,דוד רזיאל 25,12486-19-8,דירה בבית קומות,2,שניה,40,"830,000 ₪"
5,1960,07/02/2025,יד לבנים 142,11720-39-3,דירה בבית קומות,2,קרקע,50,"920,000 ₪"
5,1960,28/07/2019,יד לבנים 142,11720-39-3,דירה בבית קומות,2,קרקע,50,"610,000 ₪"
5,1960,10/01/2017,יד לבנים 142,11720-39-3,דירה בבית קומות,2,קרקע,50,"585,000 ₪"
5,1960,14/02/2011,יד לבנים 142,11720-39-3,דירה בבית קומות,2,קרקע,50,"325,000 ₪"
5,1960,21/06/2010,יד לבנים 142,11720-39-3,דירה בבית קומות,2,קרקע,50,"315,000 ₪"
3,1960,06/02/2025,פאר 11,12486-26-11,דירה בבית קומות,2,שלישית,60.5,"600,000 ₪"
3,1960,02/01/2018,פאר 11,12486-26-11,דירה בבית קומות,2,שלישית,60.5,"590,000 ₪"
3,1960,04/09/2012,פאר 11,12486-26-11,דירה בבית קומות,2,שלישית,60.5,"360,000 ₪"
6,1960,05/02/2025,פאר 34,12497-5-11,דירה בבית קומות,2,רביעית,46.94,"863,000 ₪"
6,1960,19/10/2022,פאר 34,12497-5-11,דירה בבית קומות,2,רביעית,46.94,"670,000 ₪"
3,1960,29/01/2025,יד לבנים 76,11720-20-2,דירה בבית קומות,2,קומה 0,43.47,"600,000 ₪"
3,1970,28/01/2025,דוד רזיאל 44,12483-21-2,דירה בבית קומות,3,קרקע,53.1,"750,000 ₪"
3,1970,01/11/2021,דוד רזיאל 44,12483-21-2,דירה בבית קומות,3,קרקע,53.1,"550,000 ₪"
3,1970,30/03/2015,דוד רזיאל 44,12483-21-2,דירה בבית קומות,3,קרקע,53.1,"510,000 ₪"
5,1960,27/01/2025,יד לבנים 52,11720-2-6,דירה בבית קומות,2,שלישית,47.75,"905,000 ₪"
4,1960,06/01/2025,רזיאל דוד 68,11720-8-17,דירה בבית קומות,2,שלישית,44.83,"820,000 ₪"
4,1970,26/12/2024,פאר 6,12494-18-10,דירה בבית קומות,3,רביעית,70.6,"1,065,000 ₪"
4,1970,23/01/2022,פאר 6,12494-18-10,דירה בבית קומות,3,רביעית,70.6,"630,000 ₪"
4,1970,14/03/2016,פאר 6,12494-18-10,דירה בבית קומות,3,רביעית,70.6,"443,000 ₪"
2,1950,24/12/2024,הירדן 37,12485-17-4,דירה בבית קומות,3.5,ראשונה,71.8,"890,000 ₪"
2,1950,2010-07-12,הירדן 37,12485-17-4,דירה בבית קומות,3.5,ראשונה,71.8,"260,000 ₪"
3,1960,24/12/2024,דוד רזיאל 67,12483-11-8,דירה בבית קומות,3,שניה,52,"900,000 ₪"
4,1995,19/12/2024,דוד רזיאל 48,12483-19-7,דירה בבית קומות,3,שלישית,60.42,"960,000 ₪"
4,1995,01/11/2018,דוד רזיאל 48,12483-19-7,דירה בבית קומות,3,שלישית,60.42,"612,000 ₪"
4,1960,12/12/2024,רזיאל דוד 66,11720-8-21,דירה בבית קומות,2,רביעית,44.83,"820,000 ₪"
4,1960,20/02/2018,רזיאל דוד 66,11720-8-21,דירה בבית קומות,2,רביעית,44.83,"530,000 ₪"
8,1999,12/12/2024,דוד רזיאל 57,12483-2-3,דירה בבית קומות,2,שניה,21.4,"650,000 ₪"
8,1999,22/03/2023,דוד רזיאל 57,12483-2-3,דירה בבית קומות,2,שניה,21.4,"255,000 ₪"
4,2000,11/12/2024,הירדן 45,12484-1-3,דירה בבית קומות,2,ראשונה,32.3,"840,000 ₪"
4,2000,24/03/2021,הירדן 45,12484-1-3,דירה בבית קומות,2,ראשונה,32.3,"660,000 ₪"
4,2000,24/04/2019,הירדן 45,12484-1-3,דירה בבית קומות,2,ראשונה,32.3,"415,000 ₪"
3,1950,05/12/2024,דוד רזיאל 32,12486-25-2,דירה בבית קומות,2,קרקע,40.14,"111,000 ₪"
6,1970,03/12/2024,פאר 49,11720-11-16,דירה בבית קומות,2,מסד,32.22,"305,000 ₪"
6,1970,21/06/2020,פאר 49,11720-11-16,דירה בבית קומות,2,מסד,32.22,"355,000 ₪"
6,1970,01/07/2009,פאר 49,11720-11-16,דירה בבית קומות,2,מסד,32.22,"139,000 ₪"
5,1960,28/11/2024,פאר 32,12497-4-7,דירה בבית קומות,2,שלישית,47.15,"665,000 ₪"
2,1970,26/11/2024,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"970,000 ₪"
2,1970,31/08/2022,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"850,000 ₪"
2,1970,04/01/2017,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"910,000 ₪"
2,1970,10/06/2014,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"434,000 ₪"
2,1970,21/03/2011,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"395,000 ₪"
2,1970,09/04/2008,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"157,000 ₪"
8,1999,25/11/2024,דוד רזיאל 57,12483-2-15,דירה בבית קומות,3,רביעית,42.35,"860,000 ₪"
8,1999,11/12/2022,דוד רזיאל 57,12483-2-15,דירה בבית קומות,3,רביעית,42.35,"650,000 ₪"
0,0,20/11/2024,ללא כתובת,12494-5-11,דירה בבית קומות,4,"קומה 5, קומה 6",111.85,"1,670,000 ₪"
2,1980,15/11/2024,דוד רזיאל 25,12486-19-7,דירה בבית קומות,2,לא ידוע,40,"820,000 ₪"
