קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,1950,24/03/2025,ברל כצנלסון 29,11200-271-1,דירה בבית קומות,2,ראשונה,37,"160,000 ₪"
0,2026,19/03/2025,ברל כצנלסון 71,11200-230-1,דירה בבית קומות,5,שניה,127,"3,300,000 ₪"
3,1970,23/01/2025,שמחה גולן 7,10885-1-8,דירה בבית קומות,4,שלישית,95,"1,320,000 ₪"
3,1960,30/12/2024,"אד""ם הכהן 13",11201-202-3,דירה בבית קומות,4,שניה,72.2,"810,000 ₪"
3,2015,21/10/2024,אריה (לובה) אליאב 18,11201-243-118,דירה בבית קומות,2,"שלישית, רביעית",49,"935,000 ₪"
1,1960,17/09/2024,פינסקר 65,11201-176-1,דירה בבית קומות,4,קרקע,89.3,"2,320,000 ₪"
2,1950,13/09/2024,"אד""ם הכהן 11",11201-200-14,דירה בבית קומות,3,שניה,56.75,"1,400,000 ₪"
2,1950,04/01/2018,"אד""ם הכהן 11",11201-200-14,דירה בבית קומות,3,שניה,56.75,"1,260,000 ₪"
2,1950,19/11/2007,"אד""ם הכהן 11",11201-200-14,דירה בבית קומות,3,שניה,56.75,"379,000 ₪"
3,2015,10/09/2024,אריה (לובה) אליאב 18,11201-243-9,דירה בבית קומות,2,ראשונה,39,"1,250,000 ₪"
0,2026,04/09/2024,ברל כצנלסון 71,11200-230-2,דירה בבית קומות,5,שלישית,127,"3,300,000 ₪"
3,2015,08/08/2024,אריה (לובה) אליאב 18,11201-243-114,דירה בבית קומות,2,"שלישית, רביעית",49,"960,000 ₪"
3,1950,29/07/2024,ברל כצנלסון 29,11200-271-26,דירה בבית קומות,2.5,ראשונה,50.4,"1,280,000 ₪"
3,1950,16/06/2008,ברל כצנלסון 29,11200-271-26,דירה בבית קומות,2.5,ראשונה,50.4,"416,000 ₪"
3,1960,22/07/2024,אדם הכהן 29,11201-130-8,דירה בבית קומות,4,שלישית,76.8,"989,000 ₪"
3,2015,08/07/2024,אריה (לובה) אליאב 18,11201-243-82,דירה בבית קומות,2,ראשונה,47,"1,050,000 ₪"
1,1960,04/07/2024,פינסקר 70,11201-175-2,דירה בבית קומות,4,ראשונה,76.08,"3,300,000 ₪"
2,1955,03/07/2024,"אד""ם הכהן 6",11201-58-5,דירה בבית קומות,5,שלישית,110,"880,000 ₪"
3,2015,30/06/2024,אריה (לובה) אליאב 18,11201-243-96,דירה בבית קומות,2,שניה,53,"1,172,000 ₪"
2,1950,23/06/2024,גלבוע 52,11201-92-1,דירה בבית קומות,3,קרקע,61.1,"1,767,600 ₪"
3,1950,20/06/2024,ברל כצנלסון 19,11200-274-5,דירה בבית קומות,2,שלישית,49.5,"1,270,000 ₪"
3,2015,17/06/2024,אריה (לובה) אליאב 18,11201-243-95,דירה בבית קומות,1,שניה,27,"690,000 ₪"
3,1970,17/06/2024,שמחה גולן 7,10885-1-5,דירה בבית קומות,4,שניה,91,"1,420,000 ₪"
3,1950,10/06/2024,ברל כצנלסון 38,11200-273-14,דירה בבית קומות,2.5,ראשונה,49.5,"1,265,000 ₪"
3,1950,26/08/2018,ברל כצנלסון 38,11200-273-14,דירה בבית קומות,2.5,ראשונה,49.5,"870,000 ₪"
3,1950,12/01/2015,ברל כצנלסון 38,11200-273-14,דירה בבית קומות,2.5,ראשונה,49.5,"740,000 ₪"
3,1950,31/03/2010,ברל כצנלסון 38,11200-273-14,דירה בבית קומות,2.5,ראשונה,49.5,"500,000 ₪"
