קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר,שכונה
0.0,0.0,04/02/2025,ללא כתובת,11188-61-47,דירה בבית קומות,3,שישית,95,"1,400,000 ₪",רמת ויזניץ
3.0,1970.0,02/02/2025,"האר""י 6",11188-118-19,דירה בבית קומות,4,ראשונה,75.3,"1,250,000 ₪",רמת ויזניץ
22.0,1970.0,28/01/2025,הרב קניאל 11,10870-98-35,דירה בבית קומות,3,שישית,67.8,"1,090,000 ₪",רמת ויזניץ
22.0,1970.0,25/09/2020,הרב קניאל 11,10870-98-35,דירה בבית קומות,3,שישית,67.8,"700,000 ₪",רמת ויזניץ
22.0,1970.0,28/01/2025,הרב קניאל 11,10870-98-104,דירה בבית קומות,3,שבע עשרה,68.9,"1,178,000 ₪",רמת ויזניץ
22.0,1970.0,09/01/2025,הרב קניאל 11,10870-98-91,דירה בבית קומות,4,חמש עשרה,83.1,"1,190,000 ₪",רמת ויזניץ
0.0,0.0,22/12/2024,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"780,000 ₪",רמת ויזניץ
0.0,0.0,27/10/2021,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"640,000 ₪",רמת ויזניץ
0.0,0.0,06/08/2012,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"425,000 ₪",רמת ויזניץ
0.0,0.0,23/06/2009,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"160,000 ₪",רמת ויזניץ
3.0,1960.0,11/12/2024,מקור ברוך 2,11188-97-6,דירה בבית קומות,4,שלישית,95.45,"1,720,000 ₪",רמת ויזניץ
0.0,0.0,27/11/2024,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"1,420,000 ₪",רמת ויזניץ
0.0,0.0,11/07/2010,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"620,000 ₪",רמת ויזניץ
0.0,0.0,12/08/2001,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"296,000 ₪",רמת ויזניץ
0.0,0.0,24/11/2024,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"1,190,000 ₪",רמת ויזניץ
0.0,0.0,03/09/2014,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"600,000 ₪",רמת ויזניץ
0.0,0.0,02/08/2009,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"345,000 ₪",רמת ויזניץ
3.0,1960.0,05/11/2024,מקור ברוך 18,11188-84-2,דירה בבית קומות,3,קרקע,51,"930,000 ₪",רמת ויזניץ
0.0,0.0,31/10/2024,ללא כתובת,11188-61-48,דירה בבית קומות,3,תשיעית,96,"1,324,000 ₪",רמת ויזניץ
22.0,1970.0,21/10/2024,הרב קניאל 11,10870-98-14,דירה בבית קומות,3,שניה,68.9,"512,000 ₪",רמת ויזניץ
22.0,1970.0,06/11/2015,הרב קניאל 11,10870-98-14,דירה בבית קומות,3,שניה,68.9,"390,000 ₪",רמת ויזניץ
0.0,0.0,10/10/2024,ללא כתובת,10867-122-9,דירה בבית קומות,3,שלישית,53.6,"925,000 ₪",רמת ויזניץ
2.0,1950.0,09/10/2024,אליעזר 1,11188-77-1,דירה בבית קומות,5,קרקע,93.5,"2,222,200 ₪",רמת ויזניץ
3.0,1960.0,08/10/2024,מקור ברוך 8,11188-98-13,דירה בבית קומות,3,שניה,63.7,"1,450,000 ₪",רמת ויזניץ
