שנה,חודש,מדד דיור
1996,1,164.7
1996,2,164.7
1996,3,167
1996,4,171.8
1996,5,175.3
1996,6,174.6
1996,7,171.6
1996,8,170.8
1996,9,173.5
1996,10,176.4
1996,11,177.1
1996,12,178.4
1997,1,181.8
1997,2,183
1997,3,183.2
1997,4,185.1
1997,5,187.4
1997,6,190.8
1997,7,192.4
1997,8,191.5
1997,9,190.3
1997,10,189.5
1997,11,189.7
1997,12,190.9
1998,1,191.1
1998,2,190.1
1998,3,191.6
1998,4,193.5
1998,5,193.4
1998,6,190.1
1998,7,188.1
1998,8,191
1998,9,198.3
1998,10,204.4
1998,11,204.4
1998,12,204.3
1999,1,204.6
1999,2,203.3
1999,3,201.7
1999,4,203
1999,5,202.4
1999,6,200.1
1999,7,202.7
1999,8,206.1
1999,9,204
1999,10,204.2
1999,11,205.6
1999,12,200.5
2000,1,195.8
2000,2,193.8
2000,3,194.2
2000,4,197.3
2000,5,197.9
2000,6,195.2
2000,7,194.1
2000,8,192.6
2000,9,191.2
2000,10,192.1
2000,11,188.8
2000,12,188
2001,1,188.6
2001,2,188.4
2001,3,187.2
2001,4,185.6
2001,5,185.7
2001,6,185.7
2001,7,186
2001,8,187.2
2001,9,187.3
2001,10,185.6
2001,11,184.5
2001,12,188.3
2002,1,194.1
2002,2,196.6
2002,3,197.6
2002,4,199.8
2002,5,201.6
2002,6,198.8
2002,7,196.4
2002,8,196.6
2002,9,196.3
2002,10,194.6
2002,11,192.7
2002,12,193
2003,1,193.6
2003,2,192.7
2003,3,188.2
2003,4,184.8
2003,5,183.8
2003,6,181.8
2003,7,183.4
2003,8,185.9
2003,9,183.7
2003,10,182.8
2003,11,182.6
2003,12,181.2
2004,1,182
2004,2,183.7
2004,3,184.9
2004,4,186.6
2004,5,187.6
2004,6,186.6
2004,7,187.2
2004,8,185.7
2004,9,182.4
2004,10,182
2004,11,180.4
2004,12,178.8
2005,1,178.6
2005,2,179.5
2005,3,182.2
2005,4,182.5
2005,5,183.1
2005,6,185.6
2005,7,185.7
2005,8,185.4
2005,9,187.1
2005,10,189
2005,11,187.3
2005,12,186.7
2006,1,188.2
2006,2,189.2
2006,3,190.1
2006,4,187.2
2006,5,185.4
2006,6,185.4
2006,7,186.2
2006,8,186.5
2006,9,183.4
2006,10,182.4
2006,11,180.2
2006,12,178.6
2007,1,179.7
2007,2,179.7
2007,3,178.5
2007,4,177.3
2007,5,180.1
2007,6,184.5
2007,7,187.4
2007,8,186.3
2007,9,184.1
2007,10,183.1
2007,11,183.3
2007,12,184.3
2008,1,185.3
2008,2,187.6
2008,3,189.6
2008,4,190
2008,5,191.4
2008,6,195.5
2008,7,199.3
2008,8,201.7
2008,9,203.6
2008,10,203.4
2008,11,202.8
2008,12,203.8
2009,1,204.3
2009,2,207.1
2009,3,209.9
2009,4,212.5
2009,5,215.5
2009,6,220.6
2009,7,225.3
2009,8,228.1
2009,9,231.9
